Source Name	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [TIME AFTER LONG DAY SHIFT]	Unit [TimeUnit]	Factor Value [GENOTYPE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Col_d0_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	Columbia	P-MTAB-4767	P-MTAB-4770	P-MTAB-4769	Col_d0_2	total_RNA	P-AFFY-2	Col_d0_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	Col_d0_r2_18	A-AFFY-2	P-AFFY-6	0	d	Columbia	Col_d0_r2_18.CEL	Col_d0_r2_18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
Col_d0_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	Columbia	P-MTAB-4767	P-MTAB-4770	P-MTAB-4769	Col_d0_1	total_RNA	P-AFFY-2	Col_d0_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	Col_d0_r1_1	A-AFFY-2	P-AFFY-6	0	d	Columbia	Col_d0_r1_1.CEL	Col_d0_r1_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
LFY_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::AthLFY	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	LFY_d8_2	total_RNA	P-AFFY-2	LFY_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	LFY_d8_r2_23	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::AthLFY	LFY_d8_r2_23.CEL	LFY_d8_r2_23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
UNI_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::UNI	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	UNI_d8_1	total_RNA	P-AFFY-2	UNI_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	UNI_d8_r1_15	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::UNI	UNI_d8_r1_15.CEL	UNI_d8_r1_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
ALF_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::ALF	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	ALF_d8_2	total_RNA	P-AFFY-2	ALF_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	ALF_d8_r2_26	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::ALF	ALF_d8_r2_26.CEL	ALF_d8_r2_26.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
UNI_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::UNI	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	UNI_d8_2	total_RNA	P-AFFY-2	UNI_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	UNI_d8_r2_32	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::UNI	UNI_d8_r2_32.CEL	UNI_d8_r2_32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
CrLFY1_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::CrLFY1	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	CrLFY1_d8_1	total_RNA	P-AFFY-2	CrLFY1_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	CrLFY1_d8_r1_12	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::CrLFY1	CrLFY1_d8_r1_12.CEL	CrLFY1_d8_r1_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
Col_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	Columbia	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	Col_d8_2	total_RNA	P-AFFY-2	Col_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	Col_d8_r2_22	A-AFFY-2	P-AFFY-6	8	d	Columbia	Col_d8_r2_22.CEL	Col_d8_r2_22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
WelNDLY_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::WelNDLY	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	WelNDLY_d8_1	total_RNA	P-AFFY-2	WelNDLY_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	WelNDLY_d8_r1_14	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::WelNDLY	WelNDLY_d8_r1_14.CEL	WelNDLY_d8_r1_14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
WelNDLY_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::WelNDLY	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	WelNDLY_d8_2	total_RNA	P-AFFY-2	WelNDLY_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	WelNDLY_d8_r2_31	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::WelNDLY	WelNDLY_d8_r2_31.CEL	WelNDLY_d8_r2_31.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
