Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[tag]	Characteristics[tissue]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM]	Term Source REF	Term Accession Number
GSM494289 1	Expression data from Maize leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Maize tissue from phenotype B97, biological replicate 3	Zea mays	  	  	Adult leaf	  	P-GSE19785-8	  	P-GSE19785-3	  	  	  	  	  	GSM494289 extract 1	total RNA	P-GSE19785-4	  	GSM494289 LE 1	biotin	P-GSE19785-5	  	GSM494289	A-AFFY-77	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494289_B97_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494289_sample_table.txt norm	GSM494289_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Zea mays	  	        
GSM494288 1	Expression data from Maize leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Maize tissue from phenotype B97, biological replicate 2	Zea mays	  	  	Adult leaf	  	P-GSE19785-8	  	P-GSE19785-3	  	  	  	  	  	GSM494288 extract 1	total RNA	P-GSE19785-4	  	GSM494288 LE 1	biotin	P-GSE19785-5	  	GSM494288	A-AFFY-77	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494288_B97_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494288_sample_table.txt norm	GSM494288_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Zea mays	  	        
GSM494287 1	Expression data from Maize leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Maize tissue from phenotype B97, biological replicate 1	Zea mays	  	  	Adult leaf	  	P-GSE19785-8	  	P-GSE19785-3	  	  	  	  	  	GSM494287 extract 1	total RNA	P-GSE19785-4	  	GSM494287 LE 1	biotin	P-GSE19785-5	  	GSM494287	A-AFFY-77	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494287_B97_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494287_sample_table.txt norm	GSM494287_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Zea mays	  	        
GSM494286 1	Expression data from Maize leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Maize tissue from phenotype B73, biological replicate 3	Zea mays	  	  	Adult leaf	  	P-GSE19785-8	  	P-GSE19785-3	  	  	  	  	  	GSM494286 extract 1	total RNA	P-GSE19785-4	  	GSM494286 LE 1	biotin	P-GSE19785-5	  	GSM494286	A-AFFY-77	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494286_B73_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494286_sample_table.txt norm	GSM494286_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Zea mays	  	        
GSM494285 1	Expression data from Maize leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Maize tissue from phenotype B73, biological replicate 2	Zea mays	  	  	Adult leaf	  	P-GSE19785-8	  	P-GSE19785-3	  	  	  	  	  	GSM494285 extract 1	total RNA	P-GSE19785-4	  	GSM494285 LE 1	biotin	P-GSE19785-5	  	GSM494285	A-AFFY-77	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494285_B73_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494285_sample_table.txt norm	GSM494285_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Zea mays	  	        
GSM494284 1	Expression data from Maize leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Maize tissue from phenotype B73, biological replicate 1	Zea mays	  	  	Adult leaf	  	P-GSE19785-8	  	P-GSE19785-3	  	  	  	  	  	GSM494284 extract 1	total RNA	P-GSE19785-4	  	GSM494284 LE 1	biotin	P-GSE19785-5	  	GSM494284	A-AFFY-77	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494284_B73_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494284_sample_table.txt norm	GSM494284_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Zea mays	  	        
GSM494283 1	Expression data from Arabidopsis leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Arabidopsis tissue from phenotype Br, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Adult leaf	  	  	  	  	P-GSE19785-2	  	P-GSE19785-3	  	GSM494283 extract 1	total RNA	P-GSE19785-4	  	GSM494283 LE 1	biotin	P-GSE19785-5	  	GSM494283	A-AFFY-2	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494283_Br3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494283_sample_table.txt norm	GSM494283_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702
GSM494282 1	Expression data from Arabidopsis leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Arabidopsis tissue from phenotype Br, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Adult leaf	  	  	  	  	P-GSE19785-2	  	P-GSE19785-3	  	GSM494282 extract 1	total RNA	P-GSE19785-4	  	GSM494282 LE 1	biotin	P-GSE19785-5	  	GSM494282	A-AFFY-2	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494282_Br2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494282_sample_table.txt norm	GSM494282_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702
GSM494281 1	Expression data from Arabidopsis leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Arabidopsis tissue from phenotype Br, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Adult leaf	  	  	  	  	P-GSE19785-2	  	P-GSE19785-3	  	GSM494281 extract 1	total RNA	P-GSE19785-4	  	GSM494281 LE 1	biotin	P-GSE19785-5	  	GSM494281	A-AFFY-2	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494281_Br1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494281_sample_table.txt norm	GSM494281_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702
GSM494280 1	Expression data from Arabidopsis leaf tissue	Plants were grown from seeds for 2 weeks.  All plants were harvested as close as practicable to the middle of the photoperiod.	Arabidopsis tissue from phenotype Ag, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	Adult leaf	  	  	  	  	P-GSE19785-2	  	P-GSE19785-3	  	GSM494280 extract 1	total RNA	P-GSE19785-4	  	GSM494280 LE 1	biotin	P-GSE19785-5	  	GSM494280	A-AFFY-2	  	P-GSE19785-6	  	P-GSE19785-7	  	GSM494280_Ag3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.raw.1.zip	P-GSE19785-1	  	GSM494280_sample_table.txt norm	GSM494280_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19785/E-GEOD-19785.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702
