Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [age]	Unit [time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue[growth condition]
GSM901074 1	mock 10day root replicate3	mock_10day_root_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	root	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901074 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901074 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901074	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901074_10MR3_051209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901074_sample_table.txt norm	GSM901074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	root	control
GSM901073 1	mock 10day root replicate2	mock_10day_root_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	root	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901073 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901073 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901073	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901073_10MR2_051209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901073_sample_table.txt norm	GSM901073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	root	control
GSM901072 1	mock 10day root replicate1	mock_10day_root_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	root	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901072 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901072 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901072	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901072_10MR1_051209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901072_sample_table.txt norm	GSM901072_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	root	control
GSM901071 1	mock 10day leaf replicate3	mock_10day_leaf_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901071 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901071 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901071	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901071_10ML3_051209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901071_sample_table.txt norm	GSM901071_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	leaf	control
GSM901070 1	mock 10day leaf replicate2	mock_10day_leaf_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901070 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901070 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901070	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901070_10ML2_071409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901070_sample_table.txt norm	GSM901070_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	leaf	control
GSM901069 1	mock 10day leaf replicate1	mock_10day_leaf_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901069 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901069 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901069	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901069_10ML1_051209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901069_sample_table.txt norm	GSM901069_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	leaf	control
GSM901080 1	osmotic 10day root replicate3	osmotic_10day_root_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	root	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901080 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901080 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901080	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901080_10OR3_071409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901080_sample_table.txt norm	GSM901080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	root	osmotic stress (3h with 0.3 molar mannitol)
GSM901079 1	osmotic 10day root replicate2	osmotic_10day_root_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	root	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901079 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901079 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901079	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901079_10OR2_071409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901079_sample_table.txt norm	GSM901079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	root	osmotic stress (3h with 0.3 molar mannitol)
GSM901078 1	osmotic 10day root replicate1	osmotic_10day_root_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	root	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901078 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901078 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901078	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901078_10OR1_071409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901078_sample_table.txt norm	GSM901078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	root	osmotic stress (3h with 0.3 molar mannitol)
GSM901077 1	osmotic 10day leaf replicate3	osmotic_10day_leaf_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	30	day	P-GSE36789-3	ArrayExpress	P-GSE36789-2	ArrayExpress	P-GSE36789-4	ArrayExpress	GSM901077 extract 1	total RNA	P-GSE36789-5	ArrayExpress	GSM901077 LE 1	biotin	P-GSE36789-6	ArrayExpress	GSM901077	A-AFFY-2	ArrayExpress	P-GSE36789-7	ArrayExpress	P-GSE36789-8	ArrayExpress	GSM901077_10OL3_071409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.raw.1.zip	P-GSE36789-1	ArrayExpress	GSM901077_sample_table.txt norm	GSM901077_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36789/E-GEOD-36789.processed.1.zip	leaf	osmotic stress (3h with 0.3 molar mannitol)
