Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[CellType]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[CELL TYPE]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE10576GSM265414	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from FACS sorted cells from roots treated for 24 hours with -Fe media. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; Growth Media: Standard media, transferred to -Fe media  for 24 hours prior to harvesting tissue	P-G10576-2	P-G10576-1	GSE10576GSM265414 sample	P-G10576-4	GSE10576GSM265414 extract	total_RNA	P-G10576-3	GSE10576GSM265414 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, -Fe, replicate 1	GSM265414.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	whole root	24	hours
GSE10576GSM265415	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from FACS sorted cells from roots treated for 24 hours with -Fe media. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; Growth Media: Standard media, transferred to -Fe media  for 24 hours prior to harvesting tissue	P-G10576-2	P-G10576-1	GSE10576GSM265415 sample	P-G10576-4	GSE10576GSM265415 extract	total_RNA	P-G10576-3	GSE10576GSM265415 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, -Fe, replicate 2	GSM265415.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	whole root	24	hours
GSE10576GSM265416	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from FACS sorted cells from roots treated for 24 hours with -Fe media. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; Growth Media: Standard media, transferred to -Fe media  for 24 hours prior to harvesting tissue	P-G10576-2	P-G10576-1	GSE10576GSM265416 sample	P-G10576-4	GSE10576GSM265416 extract	total_RNA	P-G10576-3	GSE10576GSM265416 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, -Fe, replicate 3	GSM265416.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	whole root	24	hours
GSE10576GSM266666	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	columella root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266666 sample	P-G10576-4	GSE10576GSM266666 extract	total_RNA	P-G10576-3	GSE10576GSM266666 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, columella root cap, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, columella root cap, -Fe, replicate 1	GSM266666.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	columella root cap	24	hours
GSE10576GSM266667	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	columella root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266667 sample	P-G10576-4	GSE10576GSM266667 extract	total_RNA	P-G10576-3	GSE10576GSM266667 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, columella root cap, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, columella root cap, -Fe, replicate 2	GSM266667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	columella root cap	24	hours
GSE10576GSM266668	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	columella root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266668 sample	P-G10576-4	GSE10576GSM266668 extract	total_RNA	P-G10576-3	GSE10576GSM266668 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, columella root cap, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, columella root cap, -Fe, replicate 3	GSM266668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	columella root cap	24	hours
GSE10576GSM266669	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root cortex	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266669 sample	P-G10576-4	GSE10576GSM266669 extract	total_RNA	P-G10576-3	GSE10576GSM266669 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, cortex, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, cortex, -Fe, replicate 1	GSM266669.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root cortex	24	hours
GSE10576GSM266670	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root cortex	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266670 sample	P-G10576-4	GSE10576GSM266670 extract	total_RNA	P-G10576-3	GSE10576GSM266670 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, cortex, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, cortex, -Fe, replicate 2	GSM266670.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root cortex	24	hours
GSE10576GSM266671	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root cortex	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266671 sample	P-G10576-4	GSE10576GSM266671 extract	total_RNA	P-G10576-3	GSE10576GSM266671 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, cortex, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, cortex, -Fe, replicate 3	GSM266671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root cortex	24	hours
GSE10576GSM266672	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root endodermis and quiescent centre	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266672 sample	P-G10576-4	GSE10576GSM266672 extract	total_RNA	P-G10576-3	GSE10576GSM266672 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 1	GSM266672.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root endodermis and quiescent centre	24	hours
