Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Genotype]	Characteristics[Ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSE9201GSM232884	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLUmut; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLUmut; klu-2 line 3-2 treated with EtOH vapour for 240 min.:  Gene expression data from Arabidopsis inflorescences overexpressing mutant KLU protein for 240 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232884 sample	P-G9201-4	GSE9201GSM232884 extract	total_RNA	P-G9201-3	GSE9201GSM232884 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Mut.3-2.240	A-AFFY-2	P-AFFY-6	Mut.3-2.240	GSM232884.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	240	minutes	35S::AlcR-AlcA::KLUmut; klu-2
GSE9201GSM232881	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLUmut; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLUmut; klu-2 line 1-5 treated with EtOH vapour for 90 min.:  Gene expression data from Arabidopsis inflorescences overexpressing mutant KLU protein for 90 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232881 sample	P-G9201-4	GSE9201GSM232881 extract	total_RNA	P-G9201-3	GSE9201GSM232881 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Mut.1-5.90	A-AFFY-2	P-AFFY-6	Mut.1-5.90	GSM232881.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	90	minutes	35S::AlcR-AlcA::KLUmut; klu-2
GSE9201GSM232889	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLU; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLU; klu-2 line 3-1 without EtOH-treatment.:  Gene expression data from Arabidopsis inflorescences of untreated control plants.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232889 sample	P-G9201-4	GSE9201GSM232889 extract	total_RNA	P-G9201-3	GSE9201GSM232889 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wt.3-1.0	A-AFFY-2	P-AFFY-6	Wt.3-1.0	GSM232889.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	none	n/a	minutes	35S::AlcR-AlcA::KLU; klu-2
GSE9201GSM232890	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLU; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLU; klu-2 line 4-3 without EtOH-treatment.:  Gene expression data from Arabidopsis inflorescences of untreated control plants.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232890 sample	P-G9201-4	GSE9201GSM232890 extract	total_RNA	P-G9201-3	GSE9201GSM232890 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wt.4-3.0	A-AFFY-2	P-AFFY-6	Wt.4-3.0	GSM232890.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	none	n/a	minutes	35S::AlcR-AlcA::KLU; klu-2
GSE9201GSM232887	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLU; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLU; klu-2 line 3-1 treated with EtOH vapour for 240 min.:  Gene expression data from Arabidopsis inflorescences overexpressing wild-type KLU protein for 240 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232887 sample	P-G9201-4	GSE9201GSM232887 extract	total_RNA	P-G9201-3	GSE9201GSM232887 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wt.3-1.240	A-AFFY-2	P-AFFY-6	Wt.3-1.240	GSM232887.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	240	minutes	35S::AlcR-AlcA::KLU; klu-2
GSE9201GSM232883	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLUmut; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLUmut; klu-2 line 1-5 treated with EtOH vapour for 240 min.:  Gene expression data from Arabidopsis inflorescences overexpressing mutant KLU protein for 240 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232883 sample	P-G9201-4	GSE9201GSM232883 extract	total_RNA	P-G9201-3	GSE9201GSM232883 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Mut.1-5.240	A-AFFY-2	P-AFFY-6	Mut.1-5.240	GSM232883.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	240	minutes	35S::AlcR-AlcA::KLUmut; klu-2
GSE9201GSM232882	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLUmut; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLUmut; klu-2 line 3-2 treated with EtOH vapour for 90 min.:  Gene expression data from Arabidopsis inflorescences overexpressing mutant KLU protein for 90 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232882 sample	P-G9201-4	GSE9201GSM232882 extract	total_RNA	P-G9201-3	GSE9201GSM232882 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Mut.3-2.90	A-AFFY-2	P-AFFY-6	Mut.3-2.90	GSM232882.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	90	minutes	35S::AlcR-AlcA::KLUmut; klu-2
GSE9201GSM232888	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLU; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLU; klu-2 line 4-3 treated with EtOH vapour for 240 min.:  Gene expression data from Arabidopsis inflorescences overexpressing wild-type KLU protein for 240 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232888 sample	P-G9201-4	GSE9201GSM232888 extract	total_RNA	P-G9201-3	GSE9201GSM232888 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wt.4-3.240	A-AFFY-2	P-AFFY-6	Wt.4-3.240	GSM232888.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	240	minutes	35S::AlcR-AlcA::KLU; klu-2
GSE9201GSM232885	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLU; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLU; klu-2 line 3-1 treated with EtOH vapour for 90 min.:  Gene expression data from Arabidopsis inflorescences overexpressing wild-type KLU protein for 90 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232885 sample	P-G9201-4	GSE9201GSM232885 extract	total_RNA	P-G9201-3	GSE9201GSM232885 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wt.3-1.90	A-AFFY-2	P-AFFY-6	Wt.3-1.90	GSM232885.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	90	minutes	35S::AlcR-AlcA::KLU; klu-2
GSE9201GSM232886	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	35S::AlcR-AlcA::KLU; klu-2	Landsberg erecta	Pooled inflorescence tissue with young flower buds from 35S::AlcR-AlcA::KLU; klu-2 line 4-3 treated with EtOH vapour for 90 min.:  Gene expression data from Arabidopsis inflorescences overexpressing wild-type KLU protein for 90 min.. Homozygous klu-2 mutant; Landsberg erecta background; soil-grown; flowering plants	P-G9201-2	P-G9201-1	GSE9201GSM232886 sample	P-G9201-4	GSE9201GSM232886 extract	total_RNA	P-G9201-3	GSE9201GSM232886 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wt.4-3.90	A-AFFY-2	P-AFFY-6	Wt.4-3.90	GSM232886.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.raw.1.zip	E-GEOD-9201-processed-data-1632411288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9201/E-GEOD-9201.processed.1.zip	EtOH vapour	90	minutes	35S::AlcR-AlcA::KLU; klu-2
