Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM756407 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	ant-1 mutant	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756407 extract 1	total RNA	P-GSE30492-5	GSM756407 LE 1	biotin	P-GSE30492-6	GSM756407	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756407.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756407_sample_table.txt norm	GSM756407_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	ant-1 mutant
GSM756406 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	ant-1 mutant	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756406 extract 1	total RNA	P-GSE30492-5	GSM756406 LE 1	biotin	P-GSE30492-6	GSM756406	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756406.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756406_sample_table.txt norm	GSM756406_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	ant-1 mutant
GSM756399 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	ant-1 mutant	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756399 extract 1	total RNA	P-GSE30492-5	GSM756399 LE 1	biotin	P-GSE30492-6	GSM756399	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756399.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756399_sample_table.txt norm	GSM756399_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	ant-1 mutant
GSM756398 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	ant-1 mutant	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756398 extract 1	total RNA	P-GSE30492-5	GSM756398 LE 1	biotin	P-GSE30492-6	GSM756398	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756398.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756398_sample_table.txt norm	GSM756398_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	ant-1 mutant
GSM756405 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	wild type	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756405 extract 1	total RNA	P-GSE30492-5	GSM756405 LE 1	biotin	P-GSE30492-6	GSM756405	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756405_sample_table.txt norm	GSM756405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	wild type
GSM756404 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	wild type	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756404 extract 1	total RNA	P-GSE30492-5	GSM756404 LE 1	biotin	P-GSE30492-6	GSM756404	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756404_sample_table.txt norm	GSM756404_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	wild type
GSM756397 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	wild type	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756397 extract 1	total RNA	P-GSE30492-5	GSM756397 LE 1	biotin	P-GSE30492-6	GSM756397	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756397_sample_table.txt norm	GSM756397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	wild type
GSM756396 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	wild type	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756396 extract 1	total RNA	P-GSE30492-5	GSM756396 LE 1	biotin	P-GSE30492-6	GSM756396	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756396.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756396_sample_table.txt norm	GSM756396_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	wild type
GSM756409 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	seu-3 mutant	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756409 extract 1	total RNA	P-GSE30492-5	GSM756409 LE 1	biotin	P-GSE30492-6	GSM756409	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756409_sample_table.txt norm	GSM756409_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	seu-3 mutant
GSM756408 1	each sample was pooled from 15-25 hand-dissected carpes	floral stage 8-10 hand dissected carpels	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	carpel	floral stage 8-10	seu-3 mutant	P-GSE30492-2	P-GSE30492-3	P-GSE30492-4	GSM756408 extract 1	total RNA	P-GSE30492-5	GSM756408 LE 1	biotin	P-GSE30492-6	GSM756408	A-AFFY-2	P-GSE30492-7	P-GSE30492-8	GSM756408.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.raw.1.zip	P-GSE30492-1	GSM756408_sample_table.txt norm	GSM756408_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30492/E-GEOD-30492.processed.1.zip	seu-3 mutant
