Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ORGANISM PART]
GSE5633GSM131673	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap2-6	shoot apex, inflorescence (after bolting)	ap2-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131673 sample	GSE5633GSM131673 extract	total_RNA	GSE5633GSM131673 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_49_A	A-AFFY-2	P-AFFY-6	ATGE_49_A	GSM131673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap2-6	shoot apex, inflorescence (after bolting)
GSE5633GSM131675	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap2-6	shoot apex, inflorescence (after bolting)	ap2-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131675 sample	GSE5633GSM131675 extract	total_RNA	GSE5633GSM131675 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_49_C	A-AFFY-2	P-AFFY-6	ATGE_49_C	GSM131675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap2-6	shoot apex, inflorescence (after bolting)
GSE5633GSM131664	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	clv3-7	shoot apex, inflorescence (after bolting)	clv3-7:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131664 sample	GSE5633GSM131664 extract	total_RNA	GSE5633GSM131664 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_46_A	A-AFFY-2	P-AFFY-6	ATGE_46_A	GSM131664.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	clv3-7	shoot apex, inflorescence (after bolting)
GSE5633GSM131681	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ag-12	shoot apex, inflorescence (after bolting)	ag-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131681 sample	GSE5633GSM131681 extract	total_RNA	GSE5633GSM131681 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_51_C	A-AFFY-2	P-AFFY-6	ATGE_51_C	GSM131681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ag-12	shoot apex, inflorescence (after bolting)
GSE5633GSM131654	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, transition (before bolting)	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, transition (before bolting)	GSE5633GSM131654 sample	GSE5633GSM131654 extract	total_RNA	GSE5633GSM131654 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_8_C	A-AFFY-2	P-AFFY-6	ATGE_8_C	GSM131654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, transition (before bolting)
GSE5633GSM131679	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ag-12	shoot apex, inflorescence (after bolting)	ag-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131679 sample	GSE5633GSM131679 extract	total_RNA	GSE5633GSM131679 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_51_A	A-AFFY-2	P-AFFY-6	ATGE_51_A	GSM131679.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ag-12	shoot apex, inflorescence (after bolting)
GSE5633GSM131667	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	lfy-12	shoot apex, inflorescence (after bolting)	lfy-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131667 sample	GSE5633GSM131667 extract	total_RNA	GSE5633GSM131667 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_47_A	A-AFFY-2	P-AFFY-6	ATGE_47_A	GSM131667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	lfy-12	shoot apex, inflorescence (after bolting)
GSE5633GSM131656	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	stem, 2nd internode	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: stem, 2nd internode	GSE5633GSM131656 sample	GSE5633GSM131656 extract	total_RNA	GSE5633GSM131656 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_27_B	A-AFFY-2	P-AFFY-6	ATGE_27_B	GSM131656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	stem, 2nd internode
GSE5633GSM131649	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, vegetative	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, vegetative	GSE5633GSM131649 sample	GSE5633GSM131649 extract	total_RNA	GSE5633GSM131649 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_6_A	A-AFFY-2	P-AFFY-6	ATGE_6_A	GSM131649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, vegetative
GSE5633GSM131666	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	clv3-7	shoot apex, inflorescence (after bolting)	clv3-7:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131666 sample	GSE5633GSM131666 extract	total_RNA	GSE5633GSM131666 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_46_C	A-AFFY-2	P-AFFY-6	ATGE_46_C	GSM131666.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	clv3-7	shoot apex, inflorescence (after bolting)
GSE5633GSM131655	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	stem, 2nd internode	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: stem, 2nd internode	GSE5633GSM131655 sample	GSE5633GSM131655 extract	total_RNA	GSE5633GSM131655 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_27_A	A-AFFY-2	P-AFFY-6	ATGE_27_A	GSM131655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	stem, 2nd internode
GSE5633GSM131661	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, inflorescence (after bolting)	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: apex + flowers up to stage 7/8. Tissue: shoot apex, inflorescence (after bolting)	GSE5633GSM131661 sample	GSE5633GSM131661 extract	total_RNA	GSE5633GSM131661 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_29_A2	A-AFFY-2	P-AFFY-6	ATGE_29_A2	GSM131661.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, inflorescence (after bolting)
GSE5633GSM131682	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ufo-1	shoot apex, inflorescence (after bolting)	ufo-1:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131682 sample	GSE5633GSM131682 extract	total_RNA	GSE5633GSM131682 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_52_A	A-AFFY-2	P-AFFY-6	ATGE_52_A	GSM131682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ufo-1	shoot apex, inflorescence (after bolting)
GSE5633GSM131645	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	hypocotyl	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: hypocotyl	GSE5633GSM131645 sample	GSE5633GSM131645 extract	total_RNA	GSE5633GSM131645 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_2_C	A-AFFY-2	P-AFFY-6	ATGE_2_C	GSM131645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	hypocotyl
