Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]
GSM1446776 1	Gene expression data from 12 days old seedlings exposed to 500mg/L CeO2	Arabidopsis germinant, 12 days old	CeO2 treated germinant rep3	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446776 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446776 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446776	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446776_Arabidopsis_CeO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446776_sample_table.txt norm	GSM1446776_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	nano-ceria	500	milligram per liter
GSM1446775 1	Gene expression data from 12 days old seedlings exposed to 500mg/L CeO2	Arabidopsis germinant, 12 days old	CeO2 treated germinant rep2	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446775 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446775 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446775	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446775_Arabidopsis_CeO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446775_sample_table.txt norm	GSM1446775_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	nano-ceria	500	milligram per liter
GSM1446774 1	Gene expression data from 12 days old seedlings exposed to 500mg/L CeO2	Arabidopsis germinant, 12 days old	CeO2 treated germinant rep1	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446774 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446774 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446774	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446774_Arabidopsis_CeO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446774_sample_table.txt norm	GSM1446774_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	nano-ceria	500	milligram per liter
GSM1446773 1	Gene expression data from 12 days old seedlings exposed to millipore water	Arabidopsis germinant, 12 days old	Millipore Water treated germinant rep3	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446773 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446773 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446773	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446773_Arabidopsis_MPW_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446773_sample_table.txt norm	GSM1446773_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	water	  	        
GSM1446772 1	Gene expression data from 12 days old seedlings exposed to millipore water	Arabidopsis germinant, 12 days old	Millipore Water treated germinant rep2	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446772 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446772 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446772	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446772_Arabidopsis_MPW_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446772_sample_table.txt norm	GSM1446772_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	water	  	        
GSM1446771 1	Gene expression data from 12 days old seedlings exposed to millipore water	Arabidopsis germinant, 12 days old	Millipore Water treated germinant rep1	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446771 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446771 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446771	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446771_Arabidopsis_MPW_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446771_sample_table.txt norm	GSM1446771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	water	  	        
GSM1446770 1	Gene expression data from 12 days old seedlings exposed to 500mg/L TiO2	Arabidopsis germinant, 12 days old	TiO2 treated germinant, biological rep3	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446770 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446770 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446770	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446770_Arabidopsis_TiO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446770_sample_table.txt norm	GSM1446770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	nano-titania	500	milligram per liter
GSM1446769 1	Gene expression data from 12 days old seedlings exposed to 500mg/L TiO2	Arabidopsis germinant, 12 days old	TiO2 treated germinant, biological rep2	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446769 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446769 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446769	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446769_Arabidopsis_TiO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446769_sample_table.txt norm	GSM1446769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	nano-titania	500	milligram per liter
GSM1446768 1	Gene expression data from 12 days old seedlings exposed to 500mg/L TiO2	Arabidopsis germinant, 12 days old	TiO2 treated germinant, biological rep1	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446768 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446768 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446768	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446768_Arabidopsis_TiO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446768_sample_table.txt norm	GSM1446768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	nano-titania	500	milligram per liter
GSM1446767 1	Gene expression data from 12 days old seedlings exposed to 0.1mM Kcl	Arabidopsis germinant, 12 days old	KCl treated germinant, biological rep3	12	day	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE59809-2	ArrayExpress	P-GSE59809-3	ArrayExpress	P-GSE59809-4	ArrayExpress	GSM1446767 extract 1	total RNA	P-GSE59809-5	ArrayExpress	GSM1446767 LE 1	biotin	P-GSE59809-6	ArrayExpress	GSM1446767	A-AFFY-2	ArrayExpress	array assay	P-GSE59809-7	ArrayExpress	GSM1446767_Arabidopsis_KCl_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.raw.1.zip	P-GSE59809-1	ArrayExpress	GSM1446767_sample_table.txt norm	GSM1446767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59809/E-GEOD-59809.processed.1.zip	potassium chloride	0.1	molar
