Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[strain]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE9955GSM250967	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250967 sample	P-G9955-4	GSE9955GSM250967 extract	total_RNA	P-G9955-3	GSE9955GSM250967 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with BTH treatment, biological rep4"	A-AFFY-2	P-AFFY-6	"mil4 with BTH treatment, biological rep4"	GSM250967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	benzothiadiazole
GSE9955GSM250965	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250965 sample	P-G9955-4	GSE9955GSM250965 extract	total_RNA	P-G9955-3	GSE9955GSM250965 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with BTH treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"mil4 with BTH treatment, biological rep2"	GSM250965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	benzothiadiazole
GSE9955GSM250964	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250964 sample	P-G9955-4	GSE9955GSM250964 extract	total_RNA	P-G9955-3	GSE9955GSM250964 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with BTH treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"mil4 with BTH treatment, biological rep1"	GSM250964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	benzothiadiazole
GSE9955GSM250966	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250966 sample	P-G9955-4	GSE9955GSM250966 extract	total_RNA	P-G9955-3	GSE9955GSM250966 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with BTH treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"mil4 with BTH treatment, biological rep3"	GSM250966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	benzothiadiazole
GSE9955GSM250960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250960 sample	P-G9955-4	GSE9955GSM250960 extract	total_RNA	P-G9955-3	GSE9955GSM250960 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with H2O treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"mil4 with H2O treatment, biological rep1"	GSM250960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	water
GSE9955GSM250961	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250961 sample	P-G9955-4	GSE9955GSM250961 extract	total_RNA	P-G9955-3	GSE9955GSM250961 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with H2O treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"mil4 with H2O treatment, biological rep2"	GSM250961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	water
GSE9955GSM250963	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250963 sample	P-G9955-4	GSE9955GSM250963 extract	total_RNA	P-G9955-3	GSE9955GSM250963 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with H2O treatment, biological rep4"	A-AFFY-2	P-AFFY-6	"mil4 with H2O treatment, biological rep4"	GSM250963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	water
GSE9955GSM250962	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4; Age: 4 weeks old plants	rosette	4	week	mil4 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250962 sample	P-G9955-4	GSE9955GSM250962 extract	total_RNA	P-G9955-3	GSE9955GSM250962 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 with H2O treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"mil4 with H2O treatment, biological rep3"	GSM250962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 mutant	water
GSE9955GSM250969	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4 sid2 double mutant; Age: 4 weeks old plants	rosette	4	week	mil4 sid2 double mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250969 sample	P-G9955-4	GSE9955GSM250969 extract	total_RNA	P-G9955-3	GSE9955GSM250969 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 sid2 double mutant with H2O treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"mil4 sid2 double mutant with H2O treatment, biological rep2"	GSM250969.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 sid2 double mutant	water
GSE9955GSM250968	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4 sid2 double mutant; Age: 4 weeks old plants	rosette	4	week	mil4 sid2 double mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250968 sample	P-G9955-4	GSE9955GSM250968 extract	total_RNA	P-G9955-3	GSE9955GSM250968 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 sid2 double mutant with H2O treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"mil4 sid2 double mutant with H2O treatment, biological rep1"	GSM250968.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 sid2 double mutant	water
