Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Comment[Tissue]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSM390168 1	Gene expression data from pooled Stage 14-15 median nectaries	pooled median nectaries from stage 14-15 flowers	  	  	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 14-15	median nectaries	Col-0	  	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390168 extract 1	total RNA	P-GSE15617-7	GSM390168 LE 1	biotin	P-GSE15617-8	GSM390168	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390168.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390168_sample_table.txt norm	GSM390168_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 14-15	median nectaries
GSM390167 1	Gene expression data from pooled Stage 14-15 median nectaries	pooled median nectaries from stage 14-15 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 14-15	median nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390167 extract 1	total RNA	P-GSE15617-7	GSM390167 LE 1	biotin	P-GSE15617-8	GSM390167	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390167.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390167_sample_table.txt norm	GSM390167_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 14-15	median nectaries
GSM390166 1	Gene expression data from pooled Stage 11-12 lateral nectaries	pooled lateral nectaries from stage 11-12 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 11-12	lateral nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390166 extract 1	total RNA	P-GSE15617-7	GSM390166 LE 1	biotin	P-GSE15617-8	GSM390166	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390166.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390166_sample_table.txt norm	GSM390166_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 11-12	lateral nectaries
GSM390165 1	Gene expression data from pooled Stage 11-12 lateral nectaries	pooled lateral nectaries from stage 11-12 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 11-12	lateral nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390165 extract 1	total RNA	P-GSE15617-7	GSM390165 LE 1	biotin	P-GSE15617-8	GSM390165	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390165.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390165_sample_table.txt norm	GSM390165_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 11-12	lateral nectaries
GSM390164 1	Gene expression data from pooled Stage 11-12 lateral nectaries	pooled lateral nectaries from stage 11-12 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 11-12	lateral nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390164 extract 1	total RNA	P-GSE15617-7	GSM390164 LE 1	biotin	P-GSE15617-8	GSM390164	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390164.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390164_sample_table.txt norm	GSM390164_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 11-12	lateral nectaries
GSM390163 1	Gene expression data from pooled Stage 14-15 lateral nectaries	pooled lateral nectaries from stage 14-15 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 14-15	lateral nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390163 extract 1	total RNA	P-GSE15617-7	GSM390163 LE 1	biotin	P-GSE15617-8	GSM390163	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390163.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390163_sample_table.txt norm	GSM390163_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 14-15	lateral nectaries
GSM390162 1	Gene expression data from pooled Stage 14-15 lateral nectaries	pooled lateral nectaries from stage 14-15 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 14-15	lateral nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390162 extract 1	total RNA	P-GSE15617-7	GSM390162 LE 1	biotin	P-GSE15617-8	GSM390162	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390162.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390162_sample_table.txt norm	GSM390162_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 14-15	lateral nectaries
GSM390161 1	Gene expression data from pooled Stage 14-15 lateral nectaries	pooled lateral nectaries from stage 14-15 flowers	 	 	 	 	 	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 14-15	lateral nectaries	Col-0	 	P-GSE15617-4	P-GSE15617-5	P-GSE15617-6	GSM390161 extract 1	total RNA	P-GSE15617-7	GSM390161 LE 1	biotin	P-GSE15617-8	GSM390161	A-AFFY-2	P-GSE15617-9	P-GSE15617-10	GSM390161.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-2	GSM390161_sample_table.txt norm	GSM390161_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	stage 14-15	lateral nectaries
GSM131660 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	Tissue comments: tissue sampled includes part of the stem (approx. 1 mm below and above the branching point), part of the side shoot (approx. 1 mm in length) as well as the base of the 1st cauline leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	stem, side shoot and leaf base	Col-0	1st node	 	 	 	GSM131660 extract 1	total RNA	 	GSM131660 LE 1	biotin	 	GSM131660	A-AFFY-2	P-GSE15617-3	 	GSM131660.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131660_sample_table.txt norm	GSM131660_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	stem, side shoot and leaf base
GSM131659 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	Tissue comments: tissue sampled includes part of the stem (approx. 1 mm below and above the branching point), part of the side shoot (approx. 1 mm in length) as well as the base of the 1st cauline leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	stem, side shoot and leaf base	Col-0	1st node	 	 	 	GSM131659 extract 1	total RNA	 	GSM131659 LE 1	biotin	 	GSM131659	A-AFFY-2	P-GSE15617-3	 	GSM131659.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131659_sample_table.txt norm	GSM131659_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	stem, side shoot and leaf base
