Source Name	Material Type	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[compound]	FactorValue[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]
4h DEX treated A	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h DEX treated A	total_RNA	P-AFFY-2	L_4h DEX treated A	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h DEX treated A	A-AFFY-2	P-AFFY-6	JohnGolzArray5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	dexamethasone	10	micromolar	4	hour
4h DEX treated B	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h DEX treated B	total_RNA	P-AFFY-2	L_4h DEX treated B	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h DEX treated B	A-AFFY-2	P-AFFY-6	JohnGolzArray6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	dexamethasone	10	micromolar	4	hour
4h DEX treated C	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h DEX treated C	total_RNA	P-AFFY-2	L_4h DEX treated C	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h DEX treated C	A-AFFY-2	P-AFFY-6	JohnGolzArray7.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	dexamethasone	10	micromolar	4	hour
4h DEX treated D	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h DEX treated D	total_RNA	P-AFFY-2	L_4h DEX treated D	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h DEX treated D	A-AFFY-2	P-AFFY-6	JohnGolzArray8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	dexamethasone	10	micromolar	4	hour
4h mock treated A	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h mock treated A	total_RNA	P-AFFY-2	L_4h mock treated A	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h mock treated A	A-AFFY-2	P-AFFY-6	JohnGolzArray1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	none	  	  	4	hour
4h mock treated B	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h mock treated B	total_RNA	P-AFFY-2	L_4h mock treated B	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h mock treated B	A-AFFY-2	P-AFFY-6	JohnGolzArray2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	none	  	  	4	hour
4h mock treated C	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h mock treated C	total_RNA	P-AFFY-2	L_4h mock treated C	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h mock treated C	A-AFFY-2	P-AFFY-6	JohnGolzArray3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	none	  	  	4	hour
4h mock treated D	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_4h mock treated D	total_RNA	P-AFFY-2	L_4h mock treated D	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_4h mock treated D	A-AFFY-2	P-AFFY-6	JohnGolzArray4.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	none	  	  	4	hour
8h DEX treated A	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_8h DEX treated A	total_RNA	P-AFFY-2	L_8h DEX treated A	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_8h DEX treated A	A-AFFY-2	P-AFFY-6	JohnGolzArray13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	dexamethasone	10	micromolar	8	hour
8h DEX treated B	whole organism	Arabidopsis thaliana	seedling	10	day	shoot	35S::FIL:GR inducible line	Columbia	P-MTAB-28148	P-MTAB-28149	P-MTAB-28150	E_8h DEX treated B	total_RNA	P-AFFY-2	L_8h DEX treated B	biotin	Affymetrix:Protocol:Hybridization-Unknown	H_8h DEX treated B	A-AFFY-2	P-AFFY-6	JohnGolzArray14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3726/E-MEXP-3726.raw.1.zip	dexamethasone	10	micromolar	8	hour
