Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment[stock code]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[ecotype]	FactorValue[genotype]
GSM478148 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA-1	Arabidopsis thaliana	leaf production stage	Col-0	T-DNA knock out line 1	whole organism	  	P-GSE19273-2	GSM478148 extract 1	total RNA	P-GSE19273-3	GSM478148 LE 1	biotin	P-GSE19273-4	GSM478148	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478148.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478148_sample_table.txt norm	GSM478148_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	T-DNA knock out line 1
GSM478147 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA-9	Arabidopsis thaliana	leaf production stage	Col-0	T-DNA knock out line 2	whole organism	  	P-GSE19273-2	GSM478147 extract 1	total RNA	P-GSE19273-3	GSM478147 LE 1	biotin	P-GSE19273-4	GSM478147	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478147.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478147_sample_table.txt norm	GSM478147_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	T-DNA knock out line 2
GSM478142 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	SAIL_716_A08	Arabidopsis thaliana	leaf production stage	Col-0	KO line	whole organism	N831762	P-GSE19273-2	GSM478142 extract 1	total RNA	P-GSE19273-3	GSM478142 LE 1	biotin	P-GSE19273-4	GSM478142	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478142.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478142_sample_table.txt norm	GSM478142_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	KO line
GSM478139 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA-1	Arabidopsis thaliana	leaf production stage	Col-0	T-DNA knock out line 1	whole organism	  	P-GSE19273-2	GSM478139 extract 1	total RNA	P-GSE19273-3	GSM478139 LE 1	biotin	P-GSE19273-4	GSM478139	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478139_sample_table.txt norm	GSM478139_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	T-DNA knock out line 1
GSM478138 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA-9	Arabidopsis thaliana	leaf production stage	Col-0	T-DNA knock out line 2	whole organism	  	P-GSE19273-2	GSM478138 extract 1	total RNA	P-GSE19273-3	GSM478138 LE 1	biotin	P-GSE19273-4	GSM478138	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478138.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478138_sample_table.txt norm	GSM478138_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	T-DNA knock out line 2
GSM478133 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	SAIL_716_A08	Arabidopsis thaliana	leaf production stage	Col-0	KO line	whole organism	N831762	P-GSE19273-2	GSM478133 extract 1	total RNA	P-GSE19273-3	GSM478133 LE 1	biotin	P-GSE19273-4	GSM478133	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478133_sample_table.txt norm	GSM478133_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	KO line
GSM478130 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA-1	Arabidopsis thaliana	leaf production stage	Col-0	T-DNA knock out line 1	whole organism	  	P-GSE19273-2	GSM478130 extract 1	total RNA	P-GSE19273-3	GSM478130 LE 1	biotin	P-GSE19273-4	GSM478130	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478130_sample_table.txt norm	GSM478130_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	T-DNA knock out line 1
GSM478129 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA-9	Arabidopsis thaliana	leaf production stage	Col-0	T-DNA knock out line 2	whole organism	  	P-GSE19273-2	GSM478129 extract 1	total RNA	P-GSE19273-3	GSM478129 LE 1	biotin	P-GSE19273-4	GSM478129	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478129.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478129_sample_table.txt norm	GSM478129_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	T-DNA knock out line 2
GSM478124 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	SAIL_716_A08	Arabidopsis thaliana	leaf production stage	Col-0	KO line	whole organism	N831762	P-GSE19273-2	GSM478124 extract 1	total RNA	P-GSE19273-3	GSM478124 LE 1	biotin	P-GSE19273-4	GSM478124	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478124_sample_table.txt norm	GSM478124_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	KO line
GSM478146 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA6H-1	Arabidopsis thaliana	leaf production stage	Nd-1	T-DNA knock out line 1	whole organism	  	P-GSE19273-2	GSM478146 extract 1	total RNA	P-GSE19273-3	GSM478146 LE 1	biotin	P-GSE19273-4	GSM478146	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478146.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478146_sample_table.txt norm	GSM478146_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	T-DNA knock out line 1
