Source Name	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [TEMPERATURE]	Unit [TemperatureUnit]	Factor Value [LIGHT]	Factor Value [TIME]	Unit [TimeUnit]
ATH_caldana_COND_B 320	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_B 320	total_RNA	P-MTAB-17015	ATH_caldana_COND_B 320	biotin	synthetic_DNA	ATH_caldana_COND_B 320	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_40.CEL	affy_ATH1_caldana_40.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	darkness (0 uE)	320	minutes
ATH_caldana_COND_B 1280	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_B 1280	total_RNA	P-MTAB-17015	ATH_caldana_COND_B 1280	biotin	synthetic_DNA	ATH_caldana_COND_B 1280	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_44.CEL	affy_ATH1_caldana_44.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	darkness (0 uE)	1280	minutes
ATH_caldana_COND_A 80	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_A 80	total_RNA	P-MTAB-17015	ATH_caldana_COND_A 80	biotin	synthetic_DNA	ATH_caldana_COND_A 80	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_6.CEL	affy_ATH1_caldana_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21/18	degree_C	normal light (150 uE)	80	minutes
ATH_caldana_COND_H 220	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17013	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_H 220	total_RNA	P-MTAB-17015	ATH_caldana_COND_H 220	biotin	synthetic_DNA	ATH_caldana_COND_H 220	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_167.CEL	affy_ATH1_caldana_167.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	high light (400 uE)	220	minutes
ATH_caldana_COND_G 10	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17012	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_G 10	total_RNA	P-MTAB-17015	ATH_caldana_COND_G 10	biotin	synthetic_DNA	ATH_caldana_COND_G 10	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_134.CEL	affy_ATH1_caldana_134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	low light (75 uE)	10	minutes
ATH_caldana_COND_H 640	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17013	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_H 640	total_RNA	P-MTAB-17015	ATH_caldana_COND_H 640	biotin	synthetic_DNA	ATH_caldana_COND_H 640	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_175.CEL	affy_ATH1_caldana_175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	high light (400 uE)	640	minutes
ATH_caldana_COND_E 100	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_E 100	total_RNA	P-MTAB-17015	ATH_caldana_COND_E 100	biotin	synthetic_DNA	ATH_caldana_COND_E 100	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_95.CEL	affy_ATH1_caldana_95.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	normal light (150 uE)	100	minutes
ATH_caldana_COND_E 300	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_E 300	total_RNA	P-MTAB-17015	ATH_caldana_COND_E 300	biotin	synthetic_DNA	ATH_caldana_COND_E 300	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_105.CEL	affy_ATH1_caldana_105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	normal light (150 uE)	300	minutes
ATH_caldana_COND_A 280	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17006	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_A 280	total_RNA	P-MTAB-17015	ATH_caldana_COND_A 280	biotin	synthetic_DNA	ATH_caldana_COND_A 280	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_16.CEL	affy_ATH1_caldana_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21/18	degree_C	normal light (150 uE)	280	minutes
ATH_caldana_COND_E 200	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_E 200	total_RNA	P-MTAB-17015	ATH_caldana_COND_E 200	biotin	synthetic_DNA	ATH_caldana_COND_E 200	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_100.CEL	affy_ATH1_caldana_100.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	normal light (150 uE)	200	minutes
