Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit[TimeUnit]
GSM469829 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469829 extract 1	total RNA	P-GSE18985-3	GSM469829 LE 1	biotin	P-GSE18985-4	GSM469829	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469829.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469829_sample_table.txt norm	GSM469829_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	30	minute
GSM469836 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469836 extract 1	total RNA	P-GSE18985-3	GSM469836 LE 1	biotin	P-GSE18985-4	GSM469836	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469836.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469836_sample_table.txt norm	GSM469836_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	30	minute
GSM469843 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469843 extract 1	total RNA	P-GSE18985-3	GSM469843 LE 1	biotin	P-GSE18985-4	GSM469843	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469843_sample_table.txt norm	GSM469843_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	30	minute
GSM469827 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469827 extract 1	total RNA	P-GSE18985-3	GSM469827 LE 1	biotin	P-GSE18985-4	GSM469827	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469827_sample_table.txt norm	GSM469827_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	60	minute
GSM469834 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469834 extract 1	total RNA	P-GSE18985-3	GSM469834 LE 1	biotin	P-GSE18985-4	GSM469834	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469834_sample_table.txt norm	GSM469834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	60	minute
GSM469841 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469841 extract 1	total RNA	P-GSE18985-3	GSM469841 LE 1	biotin	P-GSE18985-4	GSM469841	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469841_sample_table.txt norm	GSM469841_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	60	minute
GSM469825 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469825 extract 1	total RNA	P-GSE18985-3	GSM469825 LE 1	biotin	P-GSE18985-4	GSM469825	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469825_sample_table.txt norm	GSM469825_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	180	minute
GSM469832 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469832 extract 1	total RNA	P-GSE18985-3	GSM469832 LE 1	biotin	P-GSE18985-4	GSM469832	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469832_sample_table.txt norm	GSM469832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	180	minute
GSM469839 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469839 extract 1	total RNA	P-GSE18985-3	GSM469839 LE 1	biotin	P-GSE18985-4	GSM469839	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469839_sample_table.txt norm	GSM469839_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	5 micromolar gibberellin	180	minute
GSM469831 1	After sterilisation, the seeds were incubated in water at 4ºC for 72 hours, in the dark. All seeds were placed in a 1.5ml eppendorf tube containing 70% ethanol with shaking for 3 minutes. The ethanol was removed and replaced with 10% bleach/0.1% Tween-20 for a further 3 minutes . The samples were washed by rinsing with sterile H2O for 2 minutes; this was repeated 4 times. GA2oxOE seeds were plated onto plates containing 0.7% Gelrite (Duchefa)0.05% MES (Sigma), 1x Murashige and Skoog (Duchefa), 1% Sucrose (Duchefa) at pH 5.8. The plates were stood at an angle of 70o from the horizontal. The plants were grown under continuous light (150umol-2.sec-1)at 22C. After six days seedlings were either treated with water or 5 uM GA4 for 0, 30, 60 and 180 min. Approximately 400 hypocotyls were harvested per timepoint using a razorblade and after excision the hypocotyls were frozen in liquid nitrogen. The hypocotyls were ground using a TissueLyser (Qiagen) and total RNA extracted using a Qiagen RNeasy kit. 22 ºC average, 22 ºC day, 22 ºC night 60 % average, 60 % day, 60 % night Murashige & Skoog basal salt mixture Constant light	Pcga2ox1	Arabidopsis thaliana	Pcga2ox1 overexpression	Col-0	hypocotyl	P-GSE18985-2	GSM469831 extract 1	total RNA	P-GSE18985-3	GSM469831 LE 1	biotin	P-GSE18985-4	GSM469831	A-AFFY-2	P-GSE18985-5	P-GSE18985-6	GSM469831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.raw.1.zip	P-GSE18985-1	GSM469831_sample_table.txt norm	GSM469831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18985/E-GEOD-18985.processed.1.zip	water	0	minute
