Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[compound]
GSE5770GSM134772	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	wild type	5 day old, light grown, whole seedlings:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: wild type; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-2	GSE5770GSM134772 sample	P-G5770-4	GSE5770GSM134772 extract	total_RNA	P-G5770-3	GSE5770GSM134772 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0_5day_-lincomycin_rep1	A-AFFY-2	P-AFFY-6	Col-0_5day_-lincomycin_rep1	GSM134772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	wild type	none
GSE5770GSM134769	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	abi4-102	5 day old, light grown, whole seedlings+ 200 microgram/ml lincomycin:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: abi4-102; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-5	GSE5770GSM134769 sample	P-G5770-4	GSE5770GSM134769 extract	total_RNA	P-G5770-3	GSE5770GSM134769 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	abi4-102_5day_+lincomycin_rep1	A-AFFY-2	P-AFFY-6	abi4-102_5day_+lincomycin_rep1	GSM134769.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	abi4-102	lincomycin
GSE5770GSM134774	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	wild type	5 day old, light grown, whole seedlings:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: wild type; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-2	GSE5770GSM134774 sample	P-G5770-4	GSE5770GSM134774 extract	total_RNA	P-G5770-3	GSE5770GSM134774 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0_5day_-lincomycin_rep2	A-AFFY-2	P-AFFY-6	Col-0_5day_-lincomycin_rep2	GSM134774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	wild type	none
GSE5770GSM134783	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	gun1-1	5 day old, light grown, whole seedlings+ 200 microgram/ml lincomycin:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: gun1-1; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-5	GSE5770GSM134783 sample	P-G5770-4	GSE5770GSM134783 extract	total_RNA	P-G5770-3	GSE5770GSM134783 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	gun1-1_5day_+lincomycin_rep2	A-AFFY-2	P-AFFY-6	gun1-1_5day_+lincomycin_rep2	GSM134783.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	gun1-1	lincomycin
GSE5770GSM134771	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	abi4-102	5 day old, light grown, whole seedlings+ 200 microgram/ml lincomycin:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype:  abi4-102; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-5	GSE5770GSM134771 sample	P-G5770-4	GSE5770GSM134771 extract	total_RNA	P-G5770-3	GSE5770GSM134771 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	abi4-102_5day_+lincomycin_rep2	A-AFFY-2	P-AFFY-6	abi4-102_5day_+lincomycin_rep2	GSM134771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	abi4-102	lincomycin
GSE5770GSM134780	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	gun1-1	5 day old, light grown, whole seedlings:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: gun1-1; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-2	GSE5770GSM134780 sample	P-G5770-4	GSE5770GSM134780 extract	total_RNA	P-G5770-3	GSE5770GSM134780 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	gun1-1_5day_-lincomycin_rep2	A-AFFY-2	P-AFFY-6	gun1-1_5day_-lincomycin_rep2	GSM134780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	gun1-1	none
GSE5770GSM134768	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	abi4-102	5 day old, light grown, whole seedlings:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: abi4-102; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-2	GSE5770GSM134768 sample	P-G5770-4	GSE5770GSM134768 extract	total_RNA	P-G5770-3	GSE5770GSM134768 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	abi4-102_5day_-lincomycin_rep2	A-AFFY-2	P-AFFY-6	abi4-102_5day_-lincomycin_rep2	GSM134768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	abi4-102	none
GSE5770GSM134777	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	wild type	5 day old, light grown, whole seedlings+ 200 microgram/ml lincomycin:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: wild type; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-5	GSE5770GSM134777 sample	P-G5770-4	GSE5770GSM134777 extract	total_RNA	P-G5770-3	GSE5770GSM134777 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0_5day_+lincomycin_rep2	A-AFFY-2	P-AFFY-6	Col-0_5day_+lincomycin_rep2	GSM134777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	wild type	lincomycin
GSE5770GSM134767	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	abi4-102	5 day old, light grown, whole seedlings:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype:  abi4-102; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-2	GSE5770GSM134767 sample	P-G5770-4	GSE5770GSM134767 extract	total_RNA	P-G5770-3	GSE5770GSM134767 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	abi4-102_5day_-lincomycin_rep1	A-AFFY-2	P-AFFY-6	abi4-102_5day_-lincomycin_rep1	GSM134767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	abi4-102	none
GSE5770GSM134775	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	whole organism	5	day	wild type	5 day old, light grown, whole seedlings+ 200 microgram/ml lincomycin:  Purpose of the experimen is to study the difference in genomic response to lincomycin in three genotypes (Col-0, abi4, gun1).. Ecotype: Col-0; genotype: wild type; Age: 5 days; Tissue: whole seedling	P-G5770-1	P-G5770-5	GSE5770GSM134775 sample	P-G5770-4	GSE5770GSM134775 extract	total_RNA	P-G5770-3	GSE5770GSM134775 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0_5day_+lincomycin_rep1	A-AFFY-2	P-AFFY-6	Col-0_5day_+lincomycin_rep1	GSM134775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.raw.1.zip	E-GEOD-5770-processed-data-1628612193.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5770/E-GEOD-5770.processed.1.zip	wild type	lincomycin
