Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Characteristics [cell type]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]
GSM725904 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Mock 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725904 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725904 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725904	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725904_sample_table.txt norm	GSM725904_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	mock
GSM725903 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Mock 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725903 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725903 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725903	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725903.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725903_sample_table.txt norm	GSM725903_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	mock
GSM725902 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Mock 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725902 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725902 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725902	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725902.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725902_sample_table.txt norm	GSM725902_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	mock
GSM725901 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Cycloheximide, Dexamethasone 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725901 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725901 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725901	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725901.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725901_sample_table.txt norm	GSM725901_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	cycloheximide, dexamethasone
GSM725900 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Cycloheximide, Dexamethasone 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725900 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725900 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725900	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725900.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725900_sample_table.txt norm	GSM725900_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	cycloheximide, dexamethasone
GSM725899 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Cycloheximide, Dexamethasone 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725899 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725899 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725899	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725899.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725899_sample_table.txt norm	GSM725899_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	cycloheximide, dexamethasone
GSM725898 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Dexamethasone 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725898 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725898 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725898	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725898.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725898_sample_table.txt norm	GSM725898_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	dexamethasone
GSM725897 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Dexamethasone 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725897 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725897 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725897	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725897.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725897_sample_table.txt norm	GSM725897_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	dexamethasone
GSM725896 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Dexamethasone 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725896 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725896 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725896	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725896_sample_table.txt norm	GSM725896_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	dexamethasone
GSM725895 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Cycloheximide 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725895 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725895 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725895	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725895_sample_table.txt norm	GSM725895_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	cycloheximide
GSM725894 1	Gene expression data from ~28 days old plant	ap1-1;cal1-1 shoot apical meristem	Cycloheximide 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	28	day	shoot	apical meristem	35S::WUS-GR ap1-1;cal1-1	P-GSE29364-2	ArrayExpress	P-GSE29364-3	ArrayExpress	P-GSE29364-4	ArrayExpress	GSM725894 extract 1	total RNA	P-GSE29364-5	ArrayExpress	GSM725894 LE 1	Biotin	P-GSE29364-6	ArrayExpress	GSM725894	A-AFFY-2	ArrayExpress	array assay	P-GSE29364-7	ArrayExpress	P-GSE29364-8	ArrayExpress	GSM725894.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.raw.1.zip	P-GSE29364-1	ArrayExpress	GSM725894_sample_table.txt norm	GSM725894_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29364/E-GEOD-29364.processed.1.zip	cycloheximide
