Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM901194 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 sid2 genotype	ssi2 sid2-3	Mutant ssi2 sid2, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2 sid2	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901194 extract 1	total RNA	P-GSE36797-5	GSM901194 LE 1	biotin	P-GSE36797-6	GSM901194	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901194_SSI2_SID2-3_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901194_sample_table.txt norm	GSM901194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2 sid2
GSM901193 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 sid2 genotype	ssi2 sid2-2	Mutant ssi2 sid2, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2 sid2	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901193 extract 1	total RNA	P-GSE36797-5	GSM901193 LE 1	biotin	P-GSE36797-6	GSM901193	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901193_SSI2_SID2-2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901193_sample_table.txt norm	GSM901193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2 sid2
GSM901192 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 sid2 genotype	ssi2 sid2-1	Mutant ssi2 sid2, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2 sid2	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901192 extract 1	total RNA	P-GSE36797-5	GSM901192 LE 1	biotin	P-GSE36797-6	GSM901192	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901192_SSI2_SID2-1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901192_sample_table.txt norm	GSM901192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2 sid2
GSM901191 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 act1 genotype	ssi2 act1-3	Mutant ssi2 act1, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2 act1	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901191 extract 1	total RNA	P-GSE36797-5	GSM901191 LE 1	biotin	P-GSE36797-6	GSM901191	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901191_SSI2_ACT1-3_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901191_sample_table.txt norm	GSM901191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2 act1
GSM901190 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 act1 genotype	ssi2 act1-2	Mutant ssi2 act1, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2 act1	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901190 extract 1	total RNA	P-GSE36797-5	GSM901190 LE 1	biotin	P-GSE36797-6	GSM901190	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901190_SSI2_ACT1-2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901190_sample_table.txt norm	GSM901190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2 act1
GSM901189 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 act1 genotype	ssi2 act1-1	Mutant ssi2 act1, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2 act1	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901189 extract 1	total RNA	P-GSE36797-5	GSM901189 LE 1	biotin	P-GSE36797-6	GSM901189	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901189_SSI2_ACT1-1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901189_sample_table.txt norm	GSM901189_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2 act1
GSM901188 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 genotype	ssi2-3	Mutant ssi2, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901188 extract 1	total RNA	P-GSE36797-5	GSM901188 LE 1	biotin	P-GSE36797-6	GSM901188	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901188_SSI2-3_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901188_sample_table.txt norm	GSM901188_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2
GSM901187 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 genotype	ssi2-2	Mutant ssi2, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901187 extract 1	total RNA	P-GSE36797-5	GSM901187 LE 1	biotin	P-GSE36797-6	GSM901187	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901187_SSI2-2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901187_sample_table.txt norm	GSM901187_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2
GSM901186 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from mutant type ssi2 genotype	ssi2-1	Mutant ssi2, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	ssi2	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901186 extract 1	total RNA	P-GSE36797-5	GSM901186 LE 1	biotin	P-GSE36797-6	GSM901186	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901186_SSI2-1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901186_sample_table.txt norm	GSM901186_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	ssi2
GSM901185 1	Columbia ecotype, 3-4 week old plants, grown in MTPS 144 conviron walk in Chamber at 22 degree C, 65% RH and 14 hr photoperiod	Gene expression data from Wild type Col-0 genotype	Col-0-3	Wild type COL-0, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	Col-0	wild type	leaf	P-GSE36797-3	P-GSE36797-2	P-GSE36797-4	GSM901185 extract 1	total RNA	P-GSE36797-5	GSM901185 LE 1	biotin	P-GSE36797-6	GSM901185	A-AFFY-2	  	P-GSE36797-7	P-GSE36797-8	GSM901185_COL-0-3_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.raw.1.zip	P-GSE36797-1	GSM901185_sample_table.txt norm	GSM901185_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36797/E-GEOD-36797.processed.1.zip	wild type
