Source Name	Characteristics [GeneticModification]	Characteristics [Biometrics]	Characteristics [Organism]	Characteristics [BioSourceType]	Characteristics [OrganismPart]	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [DEVELOPMENTAL STAGE]	Factor Value [COMPOUND]	Factor Value [GENOTYPE]
Arabidopsis thaliana	induced_mutation	length 1.5 - 10 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	max2-1	6.50 Boyes key	P-MEXP-4777	P-MEXP-4844	max2 big buds	P-MEXP-4781	total RNA	none	P-MEXP-4780	max2 big buds	total_RNA	P-MEXP-4782	none	biotin	LABELmax2 big buds	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5215	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	max2bigbuds	max2bigbuds.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	6.50 Boyes key	Untreated	max2-1
Arabidopsis thaliana__S:BioSource:MEXP:171431	  	length 0 - 1.5 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	wild_type	5.10 - 6.00 Boyes key	P-MEXP-4776	P-MEXP-4778	auxin treated 2	P-MEXP-4781	total RNA	none	P-MEXP-4779	auxin treated 2	total_RNA	P-MEXP-4782	none	biotin	LABELauxin treated 2	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5209	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	auxintreated2	auxintreated2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	5.10 - 6.00 Boyes key	naphthalene-1-acetic acid	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171434	  	length 1.5 - 10 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	wild_type	5.10 - 6.00 Boyes key	P-MEXP-4776	P-MEXP-4778	non-auxin treated 2	P-MEXP-4781	total RNA	none	P-MEXP-4779	non-auxin treated 2	total_RNA	P-MEXP-4782	none	biotin	LABELnon-auxin treated 2	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5212	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	non-treated2	non-treated2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	5.10 - 6.00 Boyes key	Untreated	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171438	induced_mutation	length 0 - 1.5 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	max4-1	6.50 Boyes key	P-MEXP-4777	P-MEXP-4844	max4 small buds	P-MEXP-4781	total RNA	none	P-MEXP-4780	max4 small buds	total_RNA	P-MEXP-4782	none	biotin	LABELmax4 small buds	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5216	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	max4Smallbuds	max4Smallbuds.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	6.50 Boyes key	Untreated	max4-1
Arabidopsis thaliana__S:BioSource:MEXP:171440	induced_mutation	length 0 - 1.5 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	axr1-12	6.50 Boyes key	P-MEXP-4777	P-MEXP-4844	axr1-12 small buds	P-MEXP-4781	total RNA	none	P-MEXP-4780	axr1-12 small buds	total_RNA	P-MEXP-4782	none	biotin	LABELaxr1-12 small buds	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5218	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	axr1-12small	axr1-12small.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	6.50 Boyes key	Untreated	axr1-12
Arabidopsis thaliana__S:BioSource:MEXP:171435	  	length 1.5 - 10 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	wild_type	5.10 - 6.00 Boyes key	P-MEXP-4776	P-MEXP-4778	non-auxin treated 3	P-MEXP-4781	total RNA	none	P-MEXP-4779	non-auxin treated 3	total_RNA	P-MEXP-4782	none	biotin	LABELnon-auxin treated 3	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5213	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	non-treated3	non-treated3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	5.10 - 6.00 Boyes key	Untreated	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171439	induced_mutation	length 1.5 - 10 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	max4-1	6.50 Boyes key	P-MEXP-4777	P-MEXP-4844	max4 big buds	P-MEXP-4781	total RNA	none	P-MEXP-4780	max4 big buds	total_RNA	P-MEXP-4782	none	biotin	LABELmax4 big buds	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5217	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	max4Bigbuds	max4Bigbuds.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	6.50 Boyes key	Untreated	max4-1
Arabidopsis thaliana__S:BioSource:MEXP:171432	  	length 0 - 1.5 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	wild_type	5.10 - 6.00 Boyes key	P-MEXP-4776	P-MEXP-4778	auxin treated 3	P-MEXP-4781	total RNA	none	P-MEXP-4779	auxin treated 3	total_RNA	P-MEXP-4782	none	biotin	LABELauxin treated 3	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5210	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	auxintreated3	auxintreated3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	5.10 - 6.00 Boyes key	naphthalene-1-acetic acid	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171430	  	length 0 - 1.5 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	wild_type	5.10 - 6.00 Boyes key	P-MEXP-4776	P-MEXP-4778	auxin treated 1	P-MEXP-4781	total RNA	none	P-MEXP-4779	auxin treated 1	total_RNA	P-MEXP-4782	none	biotin	LABELauxin treated 1	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5208	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	auxintreated1	auxintreated1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	5.10 - 6.00 Boyes key	naphthalene-1-acetic acid	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171436	induced_mutation	length 1.5 - 10 mm	Arabidopsis thaliana	frozen_sample	axillary meristem	Columbia	max1-1	6.50 Boyes key	P-MEXP-4777	P-MEXP-4844	max1 big buds	P-MEXP-4781	total RNA	none	P-MEXP-4780	max1 big buds	total_RNA	P-MEXP-4782	none	biotin	LABELmax1 big buds	Biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:5214	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	max1bigbuds	max1bigbuds.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-148-processed-data-1342013195.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-148/E-MEXP-148.processed.1.zip	6.50 Boyes key	Untreated	max1-1
