Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[genotype]
GSE7353GSM177124	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	ga-1 mutant	"7 day old ga-1 (SALK_109115) seedlings treated for 1h with 100ÂµM GA3:  Gene expression data from 7 day old ga-1 (SALK_109115) mutant seedlings treated with 100ÂµM GA3 for 1h. ga-1 (SALK_109115) mutant, 7 day old seedlings, light grown, treated for 1h with 100ÂµM GA3"	GSE7353GSM177124 sample	P-G7353-3	GSE7353GSM177124 extract	total_RNA	P-G7353-1	GSE7353GSM177124 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"ga-1 (SALK_109115) treated for 1 hr with 100 uM GA3, replicate 3"	A-AFFY-2	P-AFFY-6	"ga-1 (SALK_109115) treated for 1 hr with 100 uM GA3, replicate 3"	GSM177124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	Gibberellin	ga-1 mutant
GSE7353GSM177122	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	ga-1 mutant	"7 day old ga-1 (SALK_109115) seedlings treated for 1h with 100ÂµM GA3:  Gene expression data from 7 day old ga-1 (SALK_109115) mutant seedlings treated with 100ÂµM GA3 for 1h. ga-1 (SALK_109115) mutant, 7 day old seedlings, light grown, treated for 1h with 100ÂµM GA3"	GSE7353GSM177122 sample	P-G7353-3	GSE7353GSM177122 extract	total_RNA	P-G7353-1	GSE7353GSM177122 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"ga-1 (SALK_109115) treated for 1 hr with 100 uM GA3, replicate 1"	A-AFFY-2	P-AFFY-6	"ga-1 (SALK_109115) treated for 1 hr with 100 uM GA3, replicate 1"	GSM177122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	Gibberellin	ga-1 mutant
GSE7353GSM177123	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	ga-1 mutant	"7 day old ga-1 (SALK_109115) seedlings treated for 1h with 100ÂµM GA3:  Gene expression data from 7 day old ga-1 (SALK_109115) mutant seedlings treated with 100ÂµM GA3 for 1h. ga-1 (SALK_109115) mutant, 7 day old seedlings, light grown, treated for 1h with 100ÂµM GA3"	GSE7353GSM177123 sample	P-G7353-3	GSE7353GSM177123 extract	total_RNA	P-G7353-1	GSE7353GSM177123 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"ga-1 (SALK_109115) treated for 1 hr with 100 uM GA3, replicate 2"	A-AFFY-2	P-AFFY-6	"ga-1 (SALK_109115) treated for 1 hr with 100 uM GA3, replicate 2"	GSM177123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	Gibberellin	ga-1 mutant
GSE7353GSM177120	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	ga-1 mutant	"7 day old ga-1 (SALK_109115) mutant seedlings mock-treated for 1h:  Gene expression data from 7 day old ga-1(SALK_109115)  mutant seedlings treated with 100ÂµM GA3 for 1h. ga-1 (SALK_109115) mutant, 7 day old seedlings, light grown, mock-treated for 1h"	GSE7353GSM177120 sample	P-G7353-2	GSE7353GSM177120 extract	total_RNA	P-G7353-1	GSE7353GSM177120 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"ga-1 (SALK_109115) mock treated for 1 hr, replicate 2"	A-AFFY-2	P-AFFY-6	"ga-1 (SALK_109115) mock treated for 1 hr, replicate 2"	GSM177120.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	none	ga-1 mutant
GSE7353GSM177119	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	ga-1 mutant	"7 day old ga-1 (SALK_109115) mutant seedlings mock-treated for 1h:  Gene expression data from 7 day old ga-1 (SALK_109115)  mutant seedlings treated with 100ÂµM GA3 for 1h. ga-1 (SALK_109115) mutant, 7 day old seedlings, light grown, mock-treated for 1h"	GSE7353GSM177119 sample	P-G7353-2	GSE7353GSM177119 extract	total_RNA	P-G7353-1	GSE7353GSM177119 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"ga-1 (SALK_109115) mock treated for 1 hr, replicate 1"	A-AFFY-2	P-AFFY-6	"ga-1 (SALK_109115) mock treated for 1 hr, replicate 1"	GSM177119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	none	ga-1 mutant
GSE7353GSM177121	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	ga-1 mutant	"7 day old ga-1 (SALK_109115) mutant seedlings mock-treated for 1h:  Gene expression data from 7 day old ga-1(SALK_109115)  mutant seedlings treated with 100ÂµM GA3 for 1h. ga-1 (SALK_109115) mutant, 7 day old seedlings, light grown, mock-treated for 1h"	GSE7353GSM177121 sample	P-G7353-2	GSE7353GSM177121 extract	total_RNA	P-G7353-1	GSE7353GSM177121 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"ga-1 (SALK_109115) mock treated for 1 hr, replicate 3"	A-AFFY-2	P-AFFY-6	"ga-1 (SALK_109115) mock treated for 1 hr, replicate 3"	GSM177121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	none	ga-1 mutant
GSE7353GSM177128	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	gid1a-1 gid1b-1 gid1c-2 mutant	"7 day old gid1a-1 gid1b-1 gid1c-2 seedlings treated for 1h with 100ÂµM GA3:  Gene expression data from 7 day old gid1a-1 gid1b-1 gid1c-2 mutant seedlings treated with 100ÂµM GA3 for 1h. gid1a-1 gid1b-1 gid1c-2 mutant, 7 day old seedlings, light grown, treated for 1h with 100ÂµM GA3"	GSE7353GSM177128 sample	P-G7353-5	GSE7353GSM177128 extract	total_RNA	P-G7353-1	GSE7353GSM177128 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"gid1a-1 gid1b-1 gid1c-2 treated for 1 hr with 100 uM GA3, replicate 1"	A-AFFY-2	P-AFFY-6	"gid1a-1 gid1b-1 gid1c-2 treated for 1 hr with 100 uM GA3, replicate 1"	GSM177128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	Gibberellin	gid1a-1 gid1b-1 gid1c-2 mutant
GSE7353GSM177130	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	gid1a-1 gid1b-1 gid1c-2 mutant	"7 day old gid1a-1 gid1b-1 gid1c-2 seedlings treated for 1h with 100ÂµM GA3:  Gene expression data from 7 day old gid1a-1 gid1b-1 gid1c-2 mutant seedlings treated with 100ÂµM GA3 for 1h. gid1a-1 gid1b-1 gid1c-2 mutant, 7 day old seedlings, light grown, treated for 1h with 100ÂµM GA3"	GSE7353GSM177130 sample	P-G7353-5	GSE7353GSM177130 extract	total_RNA	P-G7353-1	GSE7353GSM177130 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"gid1a-1 gid1b-1 gid1c-2 treated for 1 hr with 100 uM GA3, replicate 3"	A-AFFY-2	P-AFFY-6	"gid1a-1 gid1b-1 gid1c-2 treated for 1 hr with 100 uM GA3, replicate 3"	GSM177130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	Gibberellin	gid1a-1 gid1b-1 gid1c-2 mutant
GSE7353GSM177129	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	gid1a-1 gid1b-1 gid1c-2 mutant	"7 day old gid1a-1 gid1b-1 gid1c-2 seedlings treated for 1h with 100ÂµM GA3:  Gene expression data from 7 day old gid1a-1 gid1b-1 gid1c-2 mutant seedlings treated with 100ÂµM GA3 for 1h. gid1a-1 gid1b-1 gid1c-2 mutant, 7 day old seedlings, light grown, treated for 1h with 100ÂµM GA3"	GSE7353GSM177129 sample	P-G7353-5	GSE7353GSM177129 extract	total_RNA	P-G7353-1	GSE7353GSM177129 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"gid1a-1 gid1b-1 gid1c-2 treated for 1 hr with 100 uM GA3, replicate 2"	A-AFFY-2	P-AFFY-6	"gid1a-1 gid1b-1 gid1c-2 treated for 1 hr with 100 uM GA3, replicate 2"	GSM177129.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	Gibberellin	gid1a-1 gid1b-1 gid1c-2 mutant
GSE7353GSM177125	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	gid1a-1 gid1b-1 gid1c-2 mutant	"7 day old gid1a-1 gid1b-1 gid1c-2 mutant seedlings mock-treated for 1h:  Gene expression data from 7 day old gid1a-1 gid1b-1 gid1c-2  mutant seedlings treated with 100ÂµM GA3 for 1h. gid1a-1 gid1b-1 gid1c-2 mutant, 7 day old seedlings, light grown, mock-treated for 1h"	GSE7353GSM177125 sample	P-G7353-4	GSE7353GSM177125 extract	total_RNA	P-G7353-1	GSE7353GSM177125 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"gid1a-1 gid1b-1 gid1c-2 mock treated for 1 hr, replicate 1"	A-AFFY-2	P-AFFY-6	"gid1a-1 gid1b-1 gid1c-2 mock treated for 1 hr, replicate 1"	GSM177125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.raw.1.zip	E-GEOD-7353-processed-data-1630068698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7353/E-GEOD-7353.processed.1.zip	none	gid1a-1 gid1b-1 gid1c-2 mutant
