Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [VARIATION]
GSM1028184 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	noa1-2 biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	noa1-2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028184 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028184 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028184	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028184_noa_rep3_n6_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028184_sample_table.txt norm	GSM1028184_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	noa1-2 mutant
GSM1028183 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	noa1-2 biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	noa1-2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028183 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028183 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028183	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028183_noa_rep2_n5_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028183_sample_table.txt norm	GSM1028183_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	noa1-2 mutant
GSM1028182 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	noa1-2 biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	noa1-2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028182 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028182 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028182	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028182_noa_rep1_N4_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028182_sample_table.txt norm	GSM1028182_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	noa1-2 mutant
GSM1028181 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	nia1nia2noa1-2 biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	triple nia1nia2noa1-2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028181 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028181 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028181	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028181_nino_rep3_n9_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028181_sample_table.txt norm	GSM1028181_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	triple nia1nia2noa1-2 mutant
GSM1028180 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	nia1nia2noa1-2 biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	triple nia1nia2noa1-2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028180 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028180 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028180	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028180_nino_rep2_n8_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028180_sample_table.txt norm	GSM1028180_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	triple nia1nia2noa1-2 mutant
GSM1028179 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	nia1nia2noa1-2 biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	triple nia1nia2noa1-2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028179 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028179 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028179	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028179_nino_rep1_n7_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028179_sample_table.txt norm	GSM1028179_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	triple nia1nia2noa1-2 mutant
GSM1028178 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	nia1nia2 biological rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	double nia1nia2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028178 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028178 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028178	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028178_Nia-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028178_sample_table.txt norm	GSM1028178_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	double nia1nia2 mutant
GSM1028177 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	nia1nia2 biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	double nia1nia2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028177 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028177 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028177	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028177_Nia-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028177_sample_table.txt norm	GSM1028177_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	double nia1nia2 mutant
GSM1028176 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	nia1nia2 biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	double nia1nia2 mutant	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028176 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028176 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028176	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028176_Nia-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028176_sample_table.txt norm	GSM1028176_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	double nia1nia2 mutant
GSM1028175 1	Gene expression data from 15 day-old whole seedlings	15 day-old seedlings	Col-0 biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15 day-old (after transition to flowering)	whole seedlings	Col-0 wild-type	P-GSE41958-2	ArrayExpress	P-GSE41958-3	ArrayExpress	P-GSE41958-4	ArrayExpress	GSM1028175 extract 1	total RNA	P-GSE41958-5	ArrayExpress	GSM1028175 LE 1	biotin	P-GSE41958-6	ArrayExpress	GSM1028175	A-AFFY-2	ArrayExpress	P-GSE41958-7	ArrayExpress	P-GSE41958-8	ArrayExpress	GSM1028175_col-0_repl3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.raw.1.zip	P-GSE41958-1	ArrayExpress	GSM1028175_sample_table.txt norm	GSM1028175_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41958/E-GEOD-41958.processed.1.zip	Col-0 wild-type
