Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [COMPOUND]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSM398673 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398673 extract 1	total RNA	P-GSE15876-5	GSM398673 LE 1	biotin	P-GSE15876-6	GSM398673	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398673_sample_table.txt norm	GSM398673_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	0	hours	SHR inducible
GSM398674 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398674 extract 1	total RNA	P-GSE15876-5	GSM398674 LE 1	biotin	P-GSE15876-6	GSM398674	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398674_sample_table.txt norm	GSM398674_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	1	hours	SHR inducible
GSM398675 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398675 extract 1	total RNA	P-GSE15876-5	GSM398675 LE 1	biotin	P-GSE15876-6	GSM398675	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398675_sample_table.txt norm	GSM398675_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	3	hours	SHR inducible
GSM398676 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398676 extract 1	total RNA	P-GSE15876-5	GSM398676 LE 1	biotin	P-GSE15876-6	GSM398676	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398676_sample_table.txt norm	GSM398676_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	6	hours	SHR inducible
GSM398677 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398677 extract 1	total RNA	P-GSE15876-5	GSM398677 LE 1	biotin	P-GSE15876-6	GSM398677	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398677_sample_table.txt norm	GSM398677_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	12	hours	SHR inducible
GSM398678 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398678 extract 1	total RNA	P-GSE15876-5	GSM398678 LE 1	biotin	P-GSE15876-6	GSM398678	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398678_sample_table.txt norm	GSM398678_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	0	hours	SHR inducible
GSM398679 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398679 extract 1	total RNA	P-GSE15876-5	GSM398679 LE 1	biotin	P-GSE15876-6	GSM398679	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398679.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398679_sample_table.txt norm	GSM398679_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	1	hours	SHR inducible
GSM398680 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398680 extract 1	total RNA	P-GSE15876-5	GSM398680 LE 1	biotin	P-GSE15876-6	GSM398680	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398680.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398680_sample_table.txt norm	GSM398680_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	3	hours	SHR inducible
GSM398681 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398681 extract 1	total RNA	P-GSE15876-5	GSM398681 LE 1	biotin	P-GSE15876-6	GSM398681	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398681_sample_table.txt norm	GSM398681_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	6	hours	SHR inducible
GSM398682 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SHR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398682 extract 1	total RNA	P-GSE15876-5	GSM398682 LE 1	biotin	P-GSE15876-6	GSM398682	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398682_sample_table.txt norm	GSM398682_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	12	hours	SHR inducible
GSM398683 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398683 extract 1	total RNA	P-GSE15876-5	GSM398683 LE 1	biotin	P-GSE15876-6	GSM398683	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398683_sample_table.txt norm	GSM398683_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	0	hours	SCR inducible
GSM398684 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398684 extract 1	total RNA	P-GSE15876-5	GSM398684 LE 1	biotin	P-GSE15876-6	GSM398684	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398684_sample_table.txt norm	GSM398684_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	1	hours	SCR inducible
GSM398685 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398685 extract 1	total RNA	P-GSE15876-5	GSM398685 LE 1	biotin	P-GSE15876-6	GSM398685	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398685.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398685_sample_table.txt norm	GSM398685_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	3	hours	SCR inducible
GSM398686 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days and transferred to dex containing plates	J0571 sorted cells	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR inducible	5	days	seedling	root	Columbia	P-GSE15876-2	P-GSE15876-3	P-GSE15876-4	GSM398686 extract 1	total RNA	P-GSE15876-5	GSM398686 LE 1	biotin	P-GSE15876-6	GSM398686	A-AFFY-2	P-GSE15876-7	P-GSE15876-8	GSM398686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.raw.1.zip	P-GSE15876-1	GSM398686_sample_table.txt norm	GSM398686_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15876/E-GEOD-15876.processed.1.zip	dexamethasone	6	hours	SCR inducible
