Source Name	Material Type	Characteristics[organism]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[genotype]
Col-0 R1	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 1	P-MTAB-20300	Labeled Extract 1	biotin	Hybridization 1	A-AFFY-2	A1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	wild type
Col-0 R2	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 2	P-MTAB-20300	Labeled Extract 7	biotin	Hybridization 7	A-AFFY-2	A3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	wild type
Col-0 R3	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 3	P-MTAB-20300	Labeled Extract 13	biotin	Hybridization 13	A-AFFY-2	A5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	wild type
Col-0 R4	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 4	P-MTAB-20300	Labeled Extract 2	biotin	Hybridization 2	A-AFFY-2	B1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	mock inoculation	wild type
Col-0 R5	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 5	P-MTAB-20300	Labeled Extract 8	biotin	Hybridization 8	A-AFFY-2	B3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	mock inoculation	wild type
Col-0 R6	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 6	P-MTAB-20300	Labeled Extract 14	biotin	Hybridization 14	A-AFFY-2	B5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	mock inoculation	wild type
Col-0 R7	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 7	P-MTAB-20300	Labeled Extract 3	biotin	Hybridization 3	A-AFFY-2	C1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	Plectosphaerella cucumerina inoculation	wild type
Col-0 R8	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 8	P-MTAB-20300	Labeled Extract 9	biotin	Hybridization 9	A-AFFY-2	C3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	Plectosphaerella cucumerina inoculation	wild type
Col-0 R9	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	wild type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 9	P-MTAB-20300	Labeled Extract 15	biotin	Hybridization 15	A-AFFY-2	C5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	Plectosphaerella cucumerina inoculation	wild type
agb1-1 R1	leaves	Arabidopsis thaliana	Col-0	3	week	leaf	agb1-1 mutant	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 10	P-MTAB-20300	Labeled Extract 4	biotin	Hybridization 4	A-AFFY-2	D1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	agb1-1 mutant
