Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[ecotype]	Characteristics[organism part]	Comment[developmental stage]	Comment[submitted tissue]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]
GSM643110 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643110 extract 1	total RNA	P-GSE26197-5	GSM643110 LE 1	biotin	P-GSE26197-6	GSM643110	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643110.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643110_sample_table.txt norm	GSM643110_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	30% inhibition from optimum photosynthesis temperature
GSM643109 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643109 extract 1	total RNA	P-GSE26197-5	GSM643109 LE 1	biotin	P-GSE26197-6	GSM643109	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643109.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643109_sample_table.txt norm	GSM643109_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	30% inhibition from optimum photosynthesis temperature
GSM643108 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643108 extract 1	total RNA	P-GSE26197-5	GSM643108 LE 1	biotin	P-GSE26197-6	GSM643108	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643108_sample_table.txt norm	GSM643108_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	30% inhibition from optimum photosynthesis temperature
GSM643107 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643107 extract 1	total RNA	P-GSE26197-5	GSM643107 LE 1	biotin	P-GSE26197-6	GSM643107	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643107.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643107_sample_table.txt norm	GSM643107_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	30% inhibition from optimum photosynthesis temperature
GSM643106 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643106 extract 1	total RNA	P-GSE26197-5	GSM643106 LE 1	biotin	P-GSE26197-6	GSM643106	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643106_sample_table.txt norm	GSM643106_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	20% inhibition from optimum photosynthesis temperature
GSM643105 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643105 extract 1	total RNA	P-GSE26197-5	GSM643105 LE 1	biotin	P-GSE26197-6	GSM643105	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643105_sample_table.txt norm	GSM643105_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	20% inhibition from optimum photosynthesis temperature
GSM643104 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643104 extract 1	total RNA	P-GSE26197-5	GSM643104 LE 1	biotin	P-GSE26197-6	GSM643104	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643104_sample_table.txt norm	GSM643104_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	20% inhibition from optimum photosynthesis temperature
GSM643103 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643103 extract 1	total RNA	P-GSE26197-5	GSM643103 LE 1	biotin	P-GSE26197-6	GSM643103	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643103_sample_table.txt norm	GSM643103_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	20% inhibition from optimum photosynthesis temperature
GSM643102 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at optimum temperature	Arabidopsis thaliana leaf, optimum	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643102 extract 1	total RNA	P-GSE26197-5	GSM643102 LE 1	biotin	P-GSE26197-6	GSM643102	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643102_sample_table.txt norm	GSM643102_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	optimum photosynthesis temperature
GSM643101 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at optimum temperature	Arabidopsis thaliana leaf, optimum	Arabidopsis thaliana	Columbia	leaf	one leaf visible	leaf, first fully expanded	P-GSE26197-2	P-GSE26197-3	P-GSE26197-4	GSM643101 extract 1	total RNA	P-GSE26197-5	GSM643101 LE 1	biotin	P-GSE26197-6	GSM643101	A-AFFY-2	P-GSE26197-7	P-GSE26197-8	GSM643101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.raw.1.zip	P-GSE26197-1	GSM643101_sample_table.txt norm	GSM643101_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26197/E-GEOD-26197.processed.1.zip	optimum photosynthesis temperature
