Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [treatment]
GSM1869364 1	rps2_AvrRpt2_10h_3	rps2 10h_3	AvrRpt2 treated rps2 at 10hpi, rep3	four weeks	  	  	  	rps2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869364 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869364 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869364	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869364_rps2_10h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869364_sample_table.txt norm	GSM1869364_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	rps2	Infiltration of Psm:AvrRpt2 OD 0.01 for 10h
GSM1869363 1	rps2_AvrRpt2_10h_2	rps2 10h_2	AvrRpt2 treated rps2 at 10hpi, rep2	four weeks	  	  	  	rps2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869363 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869363 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869363	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869363_rps2_10h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869363_sample_table.txt norm	GSM1869363_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	rps2	Infiltration of Psm:AvrRpt2 OD 0.01 for 10h
GSM1869362 1	rps2_AvrRpt2_10h_1	rps2 10h_1	AvrRpt2 treated rps2 at 10hpi, rep1	four weeks	  	  	  	rps2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869362 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869362 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869362	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869362_rps2_10h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869362_sample_table.txt norm	GSM1869362_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	rps2	Infiltration of Psm:AvrRpt2 OD 0.01 for 10h
GSM1869361 1	rps2_AvrRpt2_0h_3	rps2 0h_3	AvrRpt2 treated rps2 at 0hpi, rep3	four weeks	  	  	  	rps2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869361 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869361 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869361	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869361_rps2_0h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869361_sample_table.txt norm	GSM1869361_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	rps2	Infiltration of Psm:AvrRpt2 OD 0.01 for 0h
GSM1869360 1	rps2_AvrRpt2_0h_2	rps2 0h_2	AvrRpt2 treated rps2 at 0hpi, rep2	four weeks	  	  	  	rps2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869360 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869360 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869360	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869360_rps2_0h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869360_sample_table.txt norm	GSM1869360_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	rps2	Infiltration of Psm:AvrRpt2 OD 0.01 for 0h
GSM1869359 1	rps2_AvrRpt2_0h_1	rps2 0h_1	AvrRpt2 treated rps2 at 0hpi, rep1	four weeks	  	  	  	rps2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869359 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869359 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869359	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869359_rps2_0h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869359_sample_table.txt norm	GSM1869359_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	rps2	Infiltration of Psm:AvrRpt2 OD 0.01 for 0h
GSM1869358 1	Col-0_AvrRpt2_10h_3	WT 10h_3	AvrRpt2 treated Col-0 at 10hpi, rep3	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869358 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869358 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869358	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869358_WT_10h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869358_sample_table.txt norm	GSM1869358_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	WT	Infiltration of Psm:AvrRpt2 OD 0.01 for 10h
GSM1869357 1	Col-0_AvrRpt2_10h_2	WT 10h_2	AvrRpt2 treated Col-0 at 10hpi, rep2	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869357 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869357 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869357	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869357_WT_10h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869357_sample_table.txt norm	GSM1869357_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	WT	Infiltration of Psm:AvrRpt2 OD 0.01 for 10h
GSM1869356 1	Col-0_AvrRpt2_10h_1	WT 10h_1	AvrRpt2 treated Col-0 at 10hpi, rep1	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869356 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869356 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869356	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869356_WT_10h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869356_sample_table.txt norm	GSM1869356_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	WT	Infiltration of Psm:AvrRpt2 OD 0.01 for 10h
GSM1869355 1	Col-0_AvrRpt2_6h_3	WT 6h_3	AvrRpt2 treated Col-0 at 6hpi, rep3	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72742-2	ArrayExpress	P-GSE72742-3	ArrayExpress	P-GSE72742-4	ArrayExpress	GSM1869355 extract 1	total RNA	P-GSE72742-5	ArrayExpress	GSM1869355 LE 1	biotin	P-GSE72742-6	ArrayExpress	GSM1869355	A-AFFY-2	ArrayExpress	array assay	P-GSE72742-7	ArrayExpress	GSM1869355_WT_6h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.raw.1.zip	P-GSE72742-1	ArrayExpress	GSM1869355_sample_table.txt norm	GSM1869355_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72742/E-GEOD-72742.processed.1.zip	WT	Infiltration of Psm:AvrRpt2 OD 0.01 for 6h
