Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE4455GSM100174	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-1 plants:  Gene expression data from root of slim1-1 plants vertically grown for 10 days on S1500 medium.. slim1-1 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-1	P-G4455-2	GSE4455GSM100174 sample	P-G4455-4	GSE4455GSM100174 extract	total_RNA	P-G4455-3	GSE4455GSM100174 LE	biotin	synthetic_RNA	slim1-1-S1500, biological rep1	A-AFFY-2	slim1-1-S1500, biological rep1	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100173	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of PSULTR1;2-GFP plants:  Gene expression data from root of PSULTR1;2-GFP plants vertically grown for 10 days on S15 medium.. Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (PSULTR1;2-GFP plants; Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-5	P-G4455-2	GSE4455GSM100173 sample	P-G4455-4	GSE4455GSM100173 extract	total_RNA	P-G4455-3	GSE4455GSM100173 LE	biotin	synthetic_RNA	P-S15, biological rep2	A-AFFY-2	P-S15, biological rep2	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100180	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-2 plants:  Gene expression data from root of slim1-2 plants vertically grown for 10 days on S15 medium.. slim1-2 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-5	P-G4455-2	GSE4455GSM100180 sample	P-G4455-4	GSE4455GSM100180 extract	total_RNA	P-G4455-3	GSE4455GSM100180 LE	biotin	synthetic_RNA	slim1-2-S15, biological rep1	A-AFFY-2	slim1-2-S15, biological rep1	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100177	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-1 plants:  Gene expression data from root of slim1-1 plants vertically grown for 10 days on S15 medium.. slim1-1 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-5	P-G4455-2	GSE4455GSM100177 sample	P-G4455-4	GSE4455GSM100177 extract	total_RNA	P-G4455-3	GSE4455GSM100177 LE	biotin	synthetic_RNA	slim1-1-S15, biological rep2	A-AFFY-2	slim1-1-S15, biological rep2	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100181	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-2 plants:  Gene expression data from root of slim1-2 plants vertically grown for 10 days on S15 medium.. slim1-2 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-5	P-G4455-2	GSE4455GSM100181 sample	P-G4455-4	GSE4455GSM100181 extract	total_RNA	P-G4455-3	GSE4455GSM100181 LE	biotin	synthetic_RNA	slim1-2-S15, biological rep2	A-AFFY-2	slim1-2-S15, biological rep2	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100178	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-2 plants:  Gene expression data from root of slim1-2 plants vertically grown for 10 days on S1500 medium.. slim1-2 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-1	P-G4455-2	GSE4455GSM100178 sample	P-G4455-4	GSE4455GSM100178 extract	total_RNA	P-G4455-3	GSE4455GSM100178 LE	biotin	synthetic_RNA	slim1-2-S1500, biological rep1	A-AFFY-2	slim1-2-S1500, biological rep1	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100170	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of PSULTR1;2-GFP plants:  Gene expression data from root of PSULTR1;2-GFP plants vertically grown for 10 days on S1500 medium.. Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (PSULTR1;2-GFP plants; Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-1	P-G4455-2	GSE4455GSM100170 sample	P-G4455-4	GSE4455GSM100170 extract	total_RNA	P-G4455-3	GSE4455GSM100170 LE	biotin	synthetic_RNA	P-S1500, biological rep1	A-AFFY-2	P-S1500, biological rep1	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100176	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-1 plants:  Gene expression data from root of slim1-1 plants vertically grown for 10 days on S15 medium.. slim1-1 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-5	P-G4455-2	GSE4455GSM100176 sample	P-G4455-4	GSE4455GSM100176 extract	total_RNA	P-G4455-3	GSE4455GSM100176 LE	biotin	synthetic_RNA	slim1-1-S15, biological rep1	A-AFFY-2	slim1-1-S15, biological rep1	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100179	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of slim1-2 plants:  Gene expression data from root of slim1-2 plants vertically grown for 10 days on S1500 medium.. slim1-2 was isolated as a response less mutant to sulfur limitation stress indicated as the GFP fluorescence of PSULTR1;2-GFP plants. The parental plant, PSULTR1;2-GFP plants, is the Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-1	P-G4455-2	GSE4455GSM100179 sample	P-G4455-4	GSE4455GSM100179 extract	total_RNA	P-G4455-3	GSE4455GSM100179 LE	biotin	synthetic_RNA	slim1-2-S1500, biological rep2	A-AFFY-2	slim1-2-S1500, biological rep2	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
GSE4455GSM100172	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Roots of PSULTR1;2-GFP plants:  Gene expression data from root of PSULTR1;2-GFP plants vertically grown for 10 days on S15 medium.. Arabidopsis thaliana cv. Columbia transformed with the T-DNA construct of pBI101 harbouring promoter region of SULTR1;2 fused to GFP (PSULTR1;2-GFP plants; Maruyama-Nakashita et al. 2004 Plant Journal 38: 779-789).; Tissue: roots	P-G4455-5	P-G4455-2	GSE4455GSM100172 sample	P-G4455-4	GSE4455GSM100172 extract	total_RNA	P-G4455-3	GSE4455GSM100172 LE	biotin	synthetic_RNA	P-S15, biological rep1	A-AFFY-2	P-S15, biological rep1	E-GEOD-4455-processed-data-1628104805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4455/E-GEOD-4455.processed.1.zip
