Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[age]	Unit [time unit]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value [growth condition]
GSM1133321 1	Subj Day Cntrl Rep 3	Aerial Rosete_Day Time Control 3	Day Time Control 3	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133321 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133321 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133321	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133321_Day_Time_Control_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133321_sample_table.txt norm	GSM1133321_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	day time control (without light pulse)
GSM1133320 1	Subj Day Cntrl Rep 2	Aerial Rosete_Day Time Control 2	Day Time Control 2	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133320 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133320 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133320	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133320_Day_Time_Control_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133320_sample_table.txt norm	GSM1133320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	day time control (without light pulse)
GSM1133319 1	Subj Day Cntrl Rep 1	Aerial Rosete_Day Time Control 1	Day Time Control 1	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133319 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133319 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133319	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133319_Day_Time_Control_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133319_sample_table.txt norm	GSM1133319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	day time control (without light pulse)
GSM1133318 1	Subj Day Rep 3	Aerial Rosete_Day Time Treatment 3	Day Time Treatment 3	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133318 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133318 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133318	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133318_Day_Time_Treatment_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133318_sample_table.txt norm	GSM1133318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	1 hour white light pulse in the middle of the subjective day 
GSM1133317 1	Subj Day Rep 2	Aerial Rosete_Day Time Treatment 2	Day Time Treatment 2	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133317 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133317 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133317	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133317_Day_Time_Treatment_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133317_sample_table.txt norm	GSM1133317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	1 hour white light pulse in the middle of the subjective day 
GSM1133316 1	Subj Day Rep 1	Aerial Rosete_Day Time Treatment 1	Day Time Treatment 1	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133316 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133316 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133316	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133316_Day_Time_Treatment_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133316_sample_table.txt norm	GSM1133316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	1 hour white light pulse in the middle of the subjective day 
GSM1133315 1	Night Cntrl Rep 3	Aerial Rosete_Night Time Control 3	Night Time Control 3	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133315 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133315 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133315	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133315_Night_Time_Control_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133315_sample_table.txt norm	GSM1133315_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	night time control (without light pulse)
GSM1133314 1	Night Cntrl Rep 2	Aerial Rosete_Night Time Control 2	Night Time Control 2	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133314 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133314 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133314	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133314_Night_Time_Control_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133314_sample_table.txt norm	GSM1133314_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	night time control (without light pulse)
GSM1133313 1	Night Cntrl Rep 1	Aerial Rosete_Night Time Control 1	Night Time Control 1	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133313 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133313 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133313	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133313_Night_Time_Control_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133313_sample_table.txt norm	GSM1133313_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	night time control (without light pulse)
GSM1133312 1	Night Light Rep 3	Aerial Rosete_Night Time Treatment 3	Night Time Treatment 3	15	day	seedling	EFO	EFO_0001992	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial rosette	P-GSE46621-2	ArrayExpress	P-GSE46621-3	ArrayExpress	P-GSE46621-4	ArrayExpress	GSM1133312 extract 1	total RNA	P-GSE46621-5	ArrayExpress	GSM1133312 LE 1	biotin	P-GSE46621-6	ArrayExpress	GSM1133312	A-AFFY-2	ArrayExpress	array assay	P-GSE46621-7	ArrayExpress	GSM1133312_Night_Time_Treatment_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.raw.1.zip	P-GSE46621-1	ArrayExpress	GSM1133312_sample_table.txt norm	GSM1133312_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46621/E-GEOD-46621.processed.1.zip	1 hour white light pulse in the middle of the night
