Source Name	Comment [NASC seed stock id]	Characteristics [developmental stage]	Characteristics [growth condition]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Provider	Protocol REF	Parameter Value [media]	Parameter Value [day temperature]	Unit [TemperatureUnit]	Parameter Value [day humidity]	Parameter Value [night temperature]	Parameter Value [night humidity]	Parameter Value [light hours]	Unit [TimeUnit]	Parameter Value [light intensity]	Parameter Value [light source]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Used Label]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [ecotype]	Factor Value [temperature]	Unit [temperature unit]
Umkirch1_16SD_A	1575	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch1_16SD_A	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch1_SD16_A	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch1_16SD_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch1_16SD_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch1_16SD_A	CHIP_316_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1	16	degree celsius
Umkirch1_16SD_C	1575	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch1_16SD_C	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch1_SD16_C	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch1_16SD_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch1_16SD_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch1_16SD_C	CHIP_316_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1	16	degree celsius
Umkirch1_16SD_B	1575	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch1_16SD_B	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch1_SD16_B	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch1_16SD_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch1_16SD_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch1_16SD_B	CHIP_316_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1	16	degree celsius
Umkirch1_23SD_B	1575	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch1_23SD_B	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch1_SD23_B	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch1_23SD_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch1_23SD_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch1_23SD_B	CHIP_313_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1	23	degree celsius
Umkirch1_23SD_C	1575	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch1_23SD_C	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch1_SD23_C	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch1_23SD_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch1_23SD_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch1_23SD_C	CHIP_313_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1	23	degree celsius
Umkirch1_23SD_A	1575	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch1_23SD_A	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch1_SD23_A	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch1_23SD_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch1_23SD_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch1_23SD_A	CHIP_313_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1	23	degree celsius
Umkirch_F1_16SD_A	1575 x 1577	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1 x Umkirch-3	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch_F1_16SD_A	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch_F1_16SD_A	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch_F1_16SD_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch_F1_16SD_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch_F1_16SD_A	CHIP_318_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1 x Umkirch-3	16	degree celsius
Umkirch_F1_16SD_C	1575 x 1577	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1 x Umkirch-3	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch_F1_16SD_C	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch_F1_16SD_C	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch_F1_16SD_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch_F1_16SD_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch_F1_16SD_C	CHIP_318_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1 x Umkirch-3	16	degree celsius
Umkirch_F1_16SD_B	1575 x 1577	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1 x Umkirch-3	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch_F1_16SD_B	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch_F1_16SD_B	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch_F1_16SD_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch_F1_16SD_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch_F1_16SD_B	CHIP_318_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1 x Umkirch-3	16	degree celsius
Umkirch_F1_23SD_C	1575 x 1577	Boyes Arabidopsis Growth Stage 3.5	short day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Umkirch-1 x Umkirch-3	NASC	P-CAGE-25826	542	23	degree celsius	65	pcr products	65	8	hour	150	530	Umkirch_F1_23SD_C	P-CAGE-25829	RNA polymerases	total RNA	E_Umkirch_F1_23SD_C	total_RNA	P-CAGE-25830	1	biotin	RNA polymerases	L_Umkirch_F1_23SD_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Umkirch_F1_23SD_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Umkirch_F1_23SD_C	CHIP_315_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-24/E-ATMX-24.raw.1.zip	Umkirch-1 x Umkirch-3	23	degree celsius
