Source Name	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Characteristics [CellLine]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Characteristics [BioSourceProvider]	Description	Protocol REF	Parameter Value [location]	Parameter Value [Humidity]	Parameter Value [Temperature]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
Hampton_1-9_ws2_Rep3_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-9_ws2_Rep3_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784860	total_RNA	NASCLabelProtocol:1	Hampton_1-9_ws2_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A009-Hampt-wsc_repeat	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A009-Hampt-wsc_repeat	E-NASC-31-raw-data-392785206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-5_ws2_Rep2_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-5_ws2_Rep2_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784828	total_RNA	NASCLabelProtocol:1	Hampton_1-5_ws2_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A005-Hampt-wsb_repeat	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A005-Hampt-wsb_repeat	E-NASC-31-raw-data-392785134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-2_akt1_Rep1_ATH1	Wassilewskija	3.90 Boyes key	NASC_N3762	nasc	Arabidopsis thaliana	ncbitax	akt1-1	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-2_akt1_Rep1_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784804	total_RNA	NASCLabelProtocol:1	Hampton_1-2_akt1_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A002-Hampt-aka	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A002-Hampt-aka	E-NASC-31-raw-data-392785080.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-11_cngc4_Rep3_ATH1	  	3.90 Boyes key	  	  	Arabidopsis thaliana	ncbitax	cngc4	"Sussman MR, Amasino RM, Young JC, Krysan PJ, Austin-Phillips S. 2000. The Arabidopsis knockout facility at the University of Wisconsin-Madison. Plant Physiology 124:1465-1467"	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-11_cngc4_Rep3_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784876	total_RNA	NASCLabelProtocol:1	Hampton_1-11_cngc4_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A011-Hampt-c4c	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A011-Hampt-c4c	E-NASC-31-raw-data-392785242.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-1_ws2_Rep1_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-1_ws2_Rep1_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784796	total_RNA	NASCLabelProtocol:1	Hampton_1-1_ws2_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A001-Hampt-wsa	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A001-Hampt-wsa	E-NASC-31-raw-data-392785062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-7_cngc4_Rep2_ATH1	cngc4	3.90 Boyes key	  	  	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-7_cngc4_Rep2_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784844	total_RNA	NASCLabelProtocol:1	Hampton_1-7_cngc4_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A007-Hampt-c4b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A007-Hampt-c4b	E-NASC-31-raw-data-392785170.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-6_akt1_Rep2_ATH1	Wassilewskija	3.90 Boyes key	NASC_N3762	nasc	Arabidopsis thaliana	ncbitax	akt1-1	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-6_akt1_Rep2_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784836	total_RNA	NASCLabelProtocol:1	Hampton_1-6_akt1_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A006-Hampt-akb	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A006-Hampt-akb	E-NASC-31-raw-data-392785152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-4_cngc1_Rep1_ATH1	cngc1	3.90 Boyes key	  	  	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-4_cngc1_Rep1_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784820	total_RNA	NASCLabelProtocol:1	Hampton_1-4_cngc1_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A004-Hampt-c1a	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A004-Hampt-c1a	E-NASC-31-raw-data-392785116.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-10_akt1_Rep3_ATH1	Wassilewskija	3.90 Boyes key	NASC_N3762	nasc	Arabidopsis thaliana	ncbitax	akt1-1	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-10_akt1_Rep3_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784868	total_RNA	NASCLabelProtocol:1	Hampton_1-10_akt1_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A010-Hampt-akc	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A010-Hampt-akc	E-NASC-31-raw-data-392785224.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
Hampton_1-8_cngc1_Rep2_ATH1	cngc1	3.90 Boyes key	  	  	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:448	Growth Room	80%	imbibed for 3-5 days at 4C	Hampton_1-8_cngc1_Rep2_ATH1	whole roots	whole roots	NASCExtractProtocol:13	392784852	total_RNA	NASCLabelProtocol:1	Hampton_1-8_cngc1_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	CH001_ATH1_A008-Hampt-c1b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	CH001_ATH1_A008-Hampt-c1b	E-NASC-31-raw-data-392785188.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122	Affymetrix:Protocol:ExpressionStat	E-NASC-31-processed-data-1342296424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-31/E-NASC-31.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=392786122
