Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Characteristics [growth condition]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]	FactorValue[time]	Unit [time unit]
GSM1318529 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	cat2-2 mutant	hyb13019.CEL; cat_0h_3	cat2-2_0h after switch to ambient CO2 conc.	cat2-2; 0h after switch to ambient CO2 concentrations; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318529 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318529 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318529	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318529_hyb13019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318529_sample_table.txt norm	GSM1318529_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	transferred to ambient CO2 concentration	0	hour
GSM1318520 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	cat2-2 mutant	hyb13010.CEL; cat_0h_2	cat2-2_0h after switch to ambient CO2 conc.	cat2-2; 0h after switch to ambient CO2 concentrations; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318520 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318520 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318520	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318520_hyb13010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318520_sample_table.txt norm	GSM1318520_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	transferred to ambient CO2 concentration	0	hour
GSM1318511 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	cat2-2 mutant	hyb13001.CEL; cat_0h_1	cat2-2_0h after switch to ambient CO2 conc.	cat2-2; 0h after switch to ambient CO2 concentrations; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318511 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318511 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318511	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318511_hyb13001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318511_sample_table.txt norm	GSM1318511_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	transferred to ambient CO2 concentration	0	hour
GSM1318530 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	cat2-2 mutant	hyb13020.CEL; cat_8h_a3	cat2-2_8h after switch to ambient CO2 conc.	cat2-2; 8h after switch to ambient CO2 concentrations; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318530 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318530 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318530	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318530_hyb13020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318530_sample_table.txt norm	GSM1318530_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	transferred to ambient CO2 concentration	8	hour
GSM1318521 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	cat2-2 mutant	hyb13011.CEL; cat_8h_a2	cat2-2_8h after switch to ambient CO2 conc.	cat2-2; 8h after switch to ambient CO2 concentrations; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318521 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318521 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318521	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318521_hyb13011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318521_sample_table.txt norm	GSM1318521_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	transferred to ambient CO2 concentration	8	hour
GSM1318512 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	cat2-2 mutant	hyb13002.CEL; cat_8h_a1	cat2-2_8h after switch to ambient CO2 conc.	cat2-2; 8h after switch to ambient CO2 concentrations; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318512 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318512 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318512	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318512_hyb13002.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318512_sample_table.txt norm	GSM1318512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	transferred to ambient CO2 concentration	8	hour
GSM1318531 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	continuously maintained in high CO2	cat2-2 mutant	hyb13021.CEL; cat_8h_c3	cat2-2_harvested at 8h, continiously maintained in high CO2	cat2-2; harvested at 8h, continiously maintained in high CO2; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318531 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318531 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318531	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318531_hyb13021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318531_sample_table.txt norm	GSM1318531_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	continuously maintained in high CO2	8	hour
GSM1318522 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	continuously maintained in high CO2	cat2-2 mutant	hyb13012.CEL; cat_8h_c2	cat2-2_harvested at 8h, continiously maintained in high CO2	cat2-2; harvested at 8h, continiously maintained in high CO2; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318522 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318522 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318522	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318522_hyb13012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318522_sample_table.txt norm	GSM1318522_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	continuously maintained in high CO2	8	hour
GSM1318513 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	continuously maintained in high CO2	cat2-2 mutant	hyb13003.CEL; cat_8h_c1	cat2-2_harvested at 8h, continiously maintained in high CO2	cat2-2; harvested at 8h, continiously maintained in high CO2; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318513 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318513 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318513	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318513_hyb13003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318513_sample_table.txt norm	GSM1318513_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	cat2-2 mutant	continuously maintained in high CO2	8	hour
GSM1318526 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	wild type	hyb13016.CEL; Col0_0h_3	WT_0h after switch to ambient CO2 conc.	WT; 0h after switch to ambient CO2 concentrations; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318526 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318526 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318526	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318526_hyb13016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318526_sample_table.txt norm	GSM1318526_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	transferred to ambient CO2 concentration	0	hour
