Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE4973GSM112241	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112241 sample	P-G4973-4	GSE4973GSM112241 extract	total_RNA	P-G4973-3	GSE4973GSM112241 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- Aphid+ rep1	A-AFFY-2	Pseudomonas + UV- Aphid+ rep1	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112248	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas treated	P-G4973-1	P-G4973-2	GSE4973GSM112248 sample	P-G4973-4	GSE4973GSM112248 extract	total_RNA	P-G4973-3	GSE4973GSM112248 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- rep3	A-AFFY-2	Pseudomonas + UV- rep3	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112237	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112237 sample	P-G4973-4	GSE4973GSM112237 extract	total_RNA	P-G4973-3	GSE4973GSM112237 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- Caterpillar+ rep2	A-AFFY-2	Pseudomonas - UV- Caterpillar+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112266	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112266 sample	P-G4973-4	GSE4973GSM112266 extract	total_RNA	P-G4973-3	GSE4973GSM112266 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Caterpillar+ rep1	A-AFFY-2	Pseudomonas + UV+ Caterpillar+ rep1	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112263	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas and UV-B treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas and UV-B treated	P-G4973-1	P-G4973-2	GSE4973GSM112263 sample	P-G4973-4	GSE4973GSM112263 extract	total_RNA	P-G4973-3	GSE4973GSM112263 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ rep3	A-AFFY-2	Pseudomonas + UV+ rep3	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112238	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112238 sample	P-G4973-4	GSE4973GSM112238 extract	total_RNA	P-G4973-3	GSE4973GSM112238 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- Caterpillar+ rep3	A-AFFY-2	Pseudomonas - UV- Caterpillar+ rep3	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112231	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf	P-G4973-1	P-G4973-2	GSE4973GSM112231 sample	P-G4973-4	GSE4973GSM112231 extract	total_RNA	P-G4973-3	GSE4973GSM112231 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- rep1	A-AFFY-2	Pseudomonas - UV- rep1	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112269	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112269 sample	P-G4973-4	GSE4973GSM112269 extract	total_RNA	P-G4973-3	GSE4973GSM112269 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Caterpillar+ rep4	A-AFFY-2	Pseudomonas + UV+ Caterpillar+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112252	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112252 sample	P-G4973-4	GSE4973GSM112252 extract	total_RNA	P-G4973-3	GSE4973GSM112252 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- Caterpillar+ rep2	A-AFFY-2	Pseudomonas + UV- Caterpillar+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112219	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B treated	P-G4973-1	P-G4973-2	GSE4973GSM112219 sample	P-G4973-4	GSE4973GSM112219 extract	total_RNA	P-G4973-3	GSE4973GSM112219 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ rep4	A-AFFY-2	Pseudomonas - UV+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
